league,season,game,team,minute,score,player1,player2,event_type
ENG-Premier League,1819,2018-12-04 West Ham United-Cardiff City,West Ham United,76’,3:0,Grady Diangana,Robert Snodgrass,substitute_in
ENG-Premier League,1819,2018-12-04 West Ham United-Cardiff City,Cardiff City,90+5’,3:1,Josh Murphy,,goal
ENG-Premier League,1819,2019-01-02 Wolves-Crystal Palace,Wolverhampton Wanderers,23’,0:0,Willy Boly,,yellow_card
ENG-Premier League,1819,2019-01-02 Wolves-Crystal Palace,Wolverhampton Wanderers,45+1’,0:0,Romain Saïss,,yellow_card
ENG-Premier League,1819,2019-01-02 Wolves-Crystal Palace,Wolverhampton Wanderers,54’,0:0,Ryan Bennett,,yellow_card
ENG-Premier League,1819,2019-01-02 Wolves-Crystal Palace,Crystal Palace,62’,0:0,Luka Milivojević,,yellow_card
ENG-Premier League,1819,2019-01-02 Wolves-Crystal Palace,Wolverhampton Wanderers,64’,0:0,Morgan Gibbs-White,Hélder Costa,substitute_in
ENG-Premier League,1819,2019-01-02 Wolves-Crystal Palace,Wolverhampton Wanderers,73’,0:0,Rúben Neves,Romain Saïss,substitute_in
ENG-Premier League,1819,2019-01-02 Wolves-Crystal Palace,Crystal Palace,83’,0:1,Jordan Ayew,Patrick van Aanholt,goal
ENG-Premier League,1819,2019-01-02 Wolves-Crystal Palace,Wolverhampton Wanderers,84’,0:1,Adama Traoré,Ivan Cavaleiro,substitute_in
ENG-Premier League,1819,2019-01-02 Wolves-Crystal Palace,Crystal Palace,88’,0:1,Connor Wickham,Jordan Ayew,substitute_in
ENG-Premier League,1819,2019-01-02 Wolves-Crystal Palace,Wolverhampton Wanderers,90+1’,0:1,Jonny Castro,,yellow_card
ENG-Premier League,1819,2019-01-02 Wolves-Crystal Palace,Crystal Palace,90+5’,0:2,Luka Milivojević,,penalty_goal
ENG-Premier League,1819,2018-12-22 Manchester City-Crystal Palace,Manchester City,27’,1:0,İlkay Gündoğan,Fabian Delph,goal
ENG-Premier League,1819,2018-12-22 Manchester City-Crystal Palace,Crystal Palace,33’,1:1,Jeffrey Schlupp,James McArthur,goal
ENG-Premier League,1819,2018-12-22 Manchester City-Crystal Palace,Crystal Palace,35’,1:2,Andros Townsend,,goal
ENG-Premier League,1819,2018-12-22 Manchester City-Crystal Palace,Crystal Palace,45’,1:2,Wilfried Zaha,,yellow_card
ENG-Premier League,1819,2018-12-22 Manchester City-Crystal Palace,Manchester City,50’,1:2,Sergio Agüero,Nicolás Otamendi,substitute_in
ENG-Premier League,1819,2018-12-22 Manchester City-Crystal Palace,Crystal Palace,51’,1:3,Luka Milivojević,,penalty_goal
ENG-Premier League,1819,2018-12-22 Manchester City-Crystal Palace,Manchester City,62’,1:3,Kevin De Bruyne,Fabian Delph,substitute_in
ENG-Premier League,1819,2018-12-22 Manchester City-Crystal Palace,Manchester City,69’,1:3,Riyad Mahrez,Raheem Sterling,substitute_in
ENG-Premier League,1819,2018-12-22 Manchester City-Crystal Palace,Crystal Palace,75’,1:3,Patrick van Aanholt,,yellow_card
ENG-Premier League,1819,2018-12-22 Manchester City-Crystal Palace,Crystal Palace,80’,1:3,James McArthur,,yellow_card
ENG-Premier League,1819,2018-12-22 Manchester City-Crystal Palace,Manchester City,85’,2:3,Kevin De Bruyne,Bernardo Silva,goal
ENG-Premier League,1819,2018-12-22 Manchester City-Crystal Palace,Crystal Palace,88’,2:3,Jordan Ayew,Wilfried Zaha,substitute_in
ENG-Premier League,1819,2018-12-22 Manchester City-Crystal Palace,Crystal Palace,90+3’,2:3,Vicente Guaita,,yellow_card
ENG-Premier League,1819,2018-12-22 Manchester City-Crystal Palace,Crystal Palace,90+5’,2:3,Jason Puncheon,Max Meyer,substitute_in
ENG-Premier League,1819,2018-12-30 Crystal Palace-Chelsea,Chelsea,10’,0:0,Marcos Alonso,,yellow_card
ENG-Premier League,1819,2018-12-30 Crystal Palace-Chelsea,Chelsea,51’,0:1,N'Golo Kanté,David Luiz,goal
ENG-Premier League,1819,2018-12-30 Crystal Palace-Chelsea,Crystal Palace,69’,0:1,Connor Wickham,Jeffrey Schlupp,substitute_in
ENG-Premier League,1819,2018-12-30 Crystal Palace-Chelsea,Chelsea,76’,0:1,Álvaro Morata,Olivier Giroud,substitute_in
ENG-Premier League,1819,2018-12-30 Crystal Palace-Chelsea,Crystal Palace,78’,0:1,Max Meyer,Cheikhou Kouyaté,substitute_in
ENG-Premier League,1819,2018-12-30 Crystal Palace-Chelsea,Chelsea,82’,0:1,Emerson Palmieri,Willian,substitute_in
ENG-Premier League,1819,2018-12-30 Crystal Palace-Chelsea,Chelsea,88’,0:1,Mateo Kovačić,Ross Barkley,substitute_in
ENG-Premier League,1819,2018-12-29 Watford-Newcastle United,Newcastle United,29’,0:1,Salomón Rondón,Matt Ritchie,goal
ENG-Premier League,1819,2018-12-29 Watford-Newcastle United,Watford,44’,0:1,Adam Masina,,yellow_card
ENG-Premier League,1819,2018-12-29 Watford-Newcastle United,Newcastle United,46’,0:1,Fabian Schär,Federico Fernández,substitute_in
ENG-Premier League,1819,2018-12-29 Watford-Newcastle United,Watford,54’,0:1,Troy Deeney,Will Hughes,substitute_in
ENG-Premier League,1819,2018-12-29 Watford-Newcastle United,Watford,54’,0:1,Abdoulaye Doucouré,Domingos Quina,substitute_in
ENG-Premier League,1819,2018-12-29 Watford-Newcastle United,Newcastle United,66’,0:1,DeAndre Yedlin,,yellow_card
ENG-Premier League,1819,2018-12-29 Watford-Newcastle United,Watford,78’,0:1,José Holebas,Adam Masina,substitute_in
ENG-Premier League,1819,2018-12-29 Watford-Newcastle United,Newcastle United,79’,0:1,Jonjo Shelvey,Isaac Hayden,substitute_in
ENG-Premier League,1819,2018-12-29 Watford-Newcastle United,Watford,82’,1:1,Abdoulaye Doucouré,Gerard Deulofeu,goal
ENG-Premier League,1819,2018-12-29 Watford-Newcastle United,Newcastle United,90+1’,1:1,Fabian Schär,,yellow_card
ENG-Premier League,1819,2019-05-12 Southampton-Huddersfield Town,Southampton,41’,1:0,Nathan Redmond,Danny Ings,goal
ENG-Premier League,1819,2019-05-12 Southampton-Huddersfield Town,Southampton,46’,1:0,Matt Targett,Shane Long,substitute_in
ENG-Premier League,1819,2019-05-12 Southampton-Huddersfield Town,Huddersfield Town,55’,1:1,Alex Pritchard,,goal
ENG-Premier League,1819,2019-05-12 Southampton-Huddersfield Town,Huddersfield Town,66’,1:1,Matty Daly,Juninho Bacuna,substitute_in
ENG-Premier League,1819,2019-05-12 Southampton-Huddersfield Town,Southampton,76’,1:1,Charlie Austin,Danny Ings,substitute_in
ENG-Premier League,1819,2019-05-12 Southampton-Huddersfield Town,Southampton,84’,1:1,Josh Sims,Oriol Romeu,substitute_in
ENG-Premier League,1819,2019-05-12 Southampton-Huddersfield Town,Huddersfield Town,84’,1:1,Jonathan Hogg,,yellow_card
ENG-Premier League,1819,2019-05-12 Southampton-Huddersfield Town,Huddersfield Town,86’,1:1,Steve Mounié,Alex Pritchard,substitute_in
ENG-Premier League,1819,2019-01-12 Burnley-Fulham,Burnley,20’,1:1,Jeff Hendrick,Dwight McNeil,goal
ENG-Premier League,1819,2019-01-12 Burnley-Fulham,Burnley,23’,2:1,Denis Odoi,,own_goal
ENG-Premier League,1819,2019-01-12 Burnley-Fulham,Fulham,2’,0:1,André Schürrle,Denis Odoi,goal
ENG-Premier League,1819,2019-01-12 Burnley-Fulham,Fulham,34’,2:1,Calum Chambers,,yellow_card
ENG-Premier League,1819,2019-01-12 Burnley-Fulham,Fulham,46’,2:1,Luciano Vietto,Ryan Sessegnon,substitute_in
ENG-Premier League,1819,2019-01-12 Burnley-Fulham,Fulham,61’,2:1,Tom Cairney,Joe Bryan,substitute_in
ENG-Premier League,1819,2019-01-12 Burnley-Fulham,Fulham,65’,2:1,Cyrus Christie,,yellow_card
ENG-Premier League,1819,2019-01-12 Burnley-Fulham,Burnley,72’,2:1,James Tarkowski,,yellow_card
ENG-Premier League,1819,2019-01-12 Burnley-Fulham,Fulham,77’,2:1,Neeskens Kebano,André Schürrle,substitute_in
ENG-Premier League,1819,2019-01-12 Burnley-Fulham,Burnley,87’,2:1,Sam Vokes,Chris Wood,substitute_in
ENG-Premier League,1819,2018-12-04 Brighton-Crystal Palace,Brighton & Hove Albion,24’,1:0,Glenn Murray,,penalty_goal
ENG-Premier League,1819,2018-12-04 Brighton-Crystal Palace,Brighton & Hove Albion,28’,1:0,Shane Duffy,,red_card
ENG-Premier League,1819,2018-12-04 Brighton-Crystal Palace,Brighton & Hove Albion,31’,1:0,Leon Balogun,Pascal Groß,substitute_in
ENG-Premier League,1819,2018-12-04 Brighton-Crystal Palace,Brighton & Hove Albion,31’,2:0,Leon Balogun,,goal
ENG-Premier League,1819,2018-12-04 Brighton-Crystal Palace,Brighton & Hove Albion,35’,2:0,Florin Andone,Glenn Murray,substitute_in
ENG-Premier League,1819,2018-12-04 Brighton-Crystal Palace,Crystal Palace,37’,2:0,James Tomkins,,yellow_card
ENG-Premier League,1819,2018-12-04 Brighton-Crystal Palace,Brighton & Hove Albion,45+4’,3:0,Florin Andone,,goal
ENG-Premier League,1819,2018-12-04 Brighton-Crystal Palace,Brighton & Hove Albion,49’,3:0,Anthony Knockaert,José Izquierdo,substitute_in
ENG-Premier League,1819,2018-12-04 Brighton-Crystal Palace,Crystal Palace,58’,3:0,Alexander Sørloth,Cheikhou Kouyaté,substitute_in
ENG-Premier League,1819,2018-12-04 Brighton-Crystal Palace,Crystal Palace,67’,3:0,Wilfried Zaha,,yellow_card
ENG-Premier League,1819,2018-12-04 Brighton-Crystal Palace,Crystal Palace,73’,3:0,Jeffrey Schlupp,James McArthur,substitute_in
ENG-Premier League,1819,2018-12-04 Brighton-Crystal Palace,Brighton & Hove Albion,77’,3:0,Bernardo,,yellow_card
ENG-Premier League,1819,2018-12-04 Brighton-Crystal Palace,Brighton & Hove Albion,80’,3:0,Yves Bissouma,,yellow_card
ENG-Premier League,1819,2018-12-04 Brighton-Crystal Palace,Crystal Palace,81’,3:1,Luka Milivojević,,penalty_goal
ENG-Premier League,1819,2018-12-04 Brighton-Crystal Palace,Crystal Palace,82’,3:1,Luka Milivojević,,yellow_card
ENG-Premier League,1819,2018-11-03 Arsenal-Liverpool,Liverpool,52’,0:0,Fabinho,,yellow_card
ENG-Premier League,1819,2018-11-03 Arsenal-Liverpool,Liverpool,61’,0:1,James Milner,,goal
ENG-Premier League,1819,2018-11-03 Arsenal-Liverpool,Arsenal,68’,0:1,Alex Iwobi,Henrikh Mkhitaryan,substitute_in
ENG-Premier League,1819,2018-11-03 Arsenal-Liverpool,Arsenal,73’,0:1,Aaron Ramsey,Pierre-Emerick Aubameyang,substitute_in
ENG-Premier League,1819,2018-11-03 Arsenal-Liverpool,Liverpool,80’,0:1,Xherdan Shaqiri,Roberto Firmino,substitute_in
ENG-Premier League,1819,2018-11-03 Arsenal-Liverpool,Arsenal,81’,0:1,Danny Welbeck,Sead Kolašinac,substitute_in
ENG-Premier League,1819,2018-11-03 Arsenal-Liverpool,Arsenal,82’,1:1,Alexandre Lacazette,Alex Iwobi,goal
ENG-Premier League,1819,2018-11-03 Arsenal-Liverpool,Arsenal,83’,1:1,Alexandre Lacazette,,yellow_card
ENG-Premier League,1819,2018-11-03 Arsenal-Liverpool,Liverpool,90+4’,1:1,Joël Matip,Mohamed Salah,substitute_in
ENG-Premier League,1819,2019-02-26 Newcastle United-Burnley,Newcastle United,22’,0:0,Sean Longstaff,,yellow_card
ENG-Premier League,1819,2019-02-26 Newcastle United-Burnley,Newcastle United,24’,1:0,Fabian Schär,Javier Manquillo,goal
ENG-Premier League,1819,2019-02-26 Newcastle United-Burnley,Newcastle United,38’,2:0,Sean Longstaff,,goal
ENG-Premier League,1819,2019-02-26 Newcastle United-Burnley,Burnley,39’,2:0,Ben Mee,,yellow_card
ENG-Premier League,1819,2019-02-26 Newcastle United-Burnley,Burnley,46’,2:0,Robbie Brady,Dwight McNeil,substitute_in
ENG-Premier League,1819,2019-02-26 Newcastle United-Burnley,Burnley,60’,2:0,Jeff Hendrick,,yellow_card
ENG-Premier League,1819,2019-02-26 Newcastle United-Burnley,Burnley,71’,2:0,Peter Crouch,Ashley Barnes,substitute_in
ENG-Premier League,1819,2019-02-26 Newcastle United-Burnley,Newcastle United,80’,2:0,Paul Dummett,Miguel Almirón,substitute_in
ENG-Premier League,1819,2019-02-26 Newcastle United-Burnley,Burnley,83’,2:0,Matěj Vydra,Chris Wood,substitute_in
ENG-Premier League,1819,2019-02-26 Newcastle United-Burnley,Newcastle United,85’,2:0,Mohamed Diamé,Sean Longstaff,substitute_in
ENG-Premier League,1819,2019-02-26 Newcastle United-Burnley,Newcastle United,87’,2:0,Joselu,Ayoze Pérez,substitute_in
ENG-Premier League,1819,2019-02-26 Newcastle United-Burnley,Burnley,88’,2:0,Peter Crouch,,yellow_card
ENG-Premier League,1819,2019-03-09 Newcastle United-Everton,Everton,18’,0:1,Dominic Calvert-Lewin,Lucas Digne,goal
ENG-Premier League,1819,2019-03-09 Newcastle United-Everton,Newcastle United,31’,0:1,Matt Ritchie,Jordan Pickford,penalty_miss
ENG-Premier League,1819,2019-03-09 Newcastle United-Everton,Everton,32’,0:2,Richarlison,,goal
ENG-Premier League,1819,2019-03-09 Newcastle United-Everton,Newcastle United,42’,0:2,Jamaal Lascelles,,yellow_card
ENG-Premier League,1819,2019-03-09 Newcastle United-Everton,Newcastle United,46’,0:2,Paul Dummett,Jamaal Lascelles,substitute_in
ENG-Premier League,1819,2019-03-09 Newcastle United-Everton,Everton,53’,0:2,Jonjoe Kenny,,yellow_card
ENG-Premier League,1819,2019-03-09 Newcastle United-Everton,Newcastle United,65’,1:2,Salomón Rondón,Ayoze Pérez,goal
ENG-Premier League,1819,2019-03-09 Newcastle United-Everton,Newcastle United,70’,1:2,Fabian Schär,,yellow_card
ENG-Premier League,1819,2019-03-09 Newcastle United-Everton,Newcastle United,73’,1:2,Kenedy,Matt Ritchie,substitute_in
ENG-Premier League,1819,2019-03-09 Newcastle United-Everton,Everton,75’,1:2,Yerry Mina,Richarlison,substitute_in
ENG-Premier League,1819,2019-03-09 Newcastle United-Everton,Newcastle United,79’,1:2,Jonjo Shelvey,Ki Sung-yueng,substitute_in
ENG-Premier League,1819,2019-03-09 Newcastle United-Everton,Newcastle United,81’,2:2,Ayoze Pérez,,goal
ENG-Premier League,1819,2019-03-09 Newcastle United-Everton,Everton,82’,2:2,Ademola Lookman,Bernard,substitute_in
ENG-Premier League,1819,2019-03-09 Newcastle United-Everton,Newcastle United,84’,3:2,Ayoze Pérez,Salomón Rondón,goal
ENG-Premier League,1819,2019-03-09 Newcastle United-Everton,Everton,87’,3:2,Theo Walcott,Jonjoe Kenny,substitute_in
ENG-Premier League,1819,2019-03-09 Newcastle United-Everton,Newcastle United,89’,3:2,Jonjo Shelvey,,yellow_card
ENG-Premier League,1819,2019-02-09 Liverpool-Bournemouth,Liverpool,24’,1:0,Sadio Mané,James Milner,goal
ENG-Premier League,1819,2019-02-09 Liverpool-Bournemouth,Bournemouth,25’,1:0,Diego Rico,,yellow_card
ENG-Premier League,1819,2019-02-09 Liverpool-Bournemouth,Liverpool,34’,2:0,Georginio Wijnaldum,Andrew Robertson,goal
ENG-Premier League,1819,2019-02-09 Liverpool-Bournemouth,Bournemouth,38’,2:0,Adam Smith,,yellow_card
ENG-Premier League,1819,2019-02-09 Liverpool-Bournemouth,Liverpool,48’,3:0,Mohamed Salah,Roberto Firmino,goal
ENG-Premier League,1819,2019-02-09 Liverpool-Bournemouth,Bournemouth,59’,3:0,Dominic Solanke,Jordon Ibe,substitute_in
ENG-Premier League,1819,2019-02-09 Liverpool-Bournemouth,Liverpool,61’,3:0,Joël Matip,,yellow_card
ENG-Premier League,1819,2019-02-09 Liverpool-Bournemouth,Bournemouth,73’,3:0,Lys Mousset,Jefferson Lerma,substitute_in
ENG-Premier League,1819,2019-02-09 Liverpool-Bournemouth,Liverpool,77’,3:0,Trent Alexander-Arnold,Georginio Wijnaldum,substitute_in
ENG-Premier League,1819,2019-02-09 Liverpool-Bournemouth,Bournemouth,80’,3:0,Chris Mepham,Diego Rico,substitute_in
ENG-Premier League,1819,2019-02-09 Liverpool-Bournemouth,Liverpool,87’,3:0,Andrew Robertson,,yellow_card
ENG-Premier League,1819,2019-02-09 Liverpool-Bournemouth,Liverpool,87’,3:0,Divock Origi,Sadio Mané,substitute_in
ENG-Premier League,1819,2019-02-09 Liverpool-Bournemouth,Liverpool,90’,3:0,Daniel Sturridge,Roberto Firmino,substitute_in
ENG-Premier League,1819,2018-12-08 Chelsea-Manchester City,Chelsea,45’,1:0,N'Golo Kanté,Eden Hazard,goal
ENG-Premier League,1819,2018-12-08 Chelsea-Manchester City,Manchester City,53’,1:0,Gabriel Jesus,Leroy Sané,substitute_in
ENG-Premier League,1819,2018-12-08 Chelsea-Manchester City,Chelsea,63’,1:0,Jorginho,,yellow_card
ENG-Premier League,1819,2018-12-08 Chelsea-Manchester City,Chelsea,65’,1:0,Ross Barkley,Mateo Kovačić,substitute_in
ENG-Premier League,1819,2018-12-08 Chelsea-Manchester City,Manchester City,68’,1:0,İlkay Gündoğan,David Silva,substitute_in
ENG-Premier League,1819,2018-12-08 Chelsea-Manchester City,Chelsea,75’,1:0,Ruben Loftus-Cheek,Willian,substitute_in
ENG-Premier League,1819,2018-12-08 Chelsea-Manchester City,Chelsea,78’,2:0,David Luiz,Eden Hazard,goal
ENG-Premier League,1819,2018-12-08 Chelsea-Manchester City,Chelsea,80’,2:0,Pedro,,yellow_card
ENG-Premier League,1819,2018-12-08 Chelsea-Manchester City,Manchester City,84’,2:0,Phil Foden,Riyad Mahrez,substitute_in
ENG-Premier League,1819,2018-12-08 Chelsea-Manchester City,Chelsea,90’,2:0,Olivier Giroud,Eden Hazard,substitute_in
ENG-Premier League,1819,2019-01-19 Wolves-Leicester City,Wolverhampton Wanderers,12’,2:0,Ryan Bennett,João Moutinho,goal
ENG-Premier League,1819,2019-01-19 Wolves-Leicester City,Leicester City,2’,0:0,Nampalys Mendy,,yellow_card
ENG-Premier League,1819,2019-01-19 Wolves-Leicester City,Wolverhampton Wanderers,44’,2:0,Ryan Bennett,,yellow_card
ENG-Premier League,1819,2019-01-19 Wolves-Leicester City,Leicester City,45+1’,2:0,Ricardo Pereira,,yellow_card
ENG-Premier League,1819,2019-01-19 Wolves-Leicester City,Wolverhampton Wanderers,45+2’,2:0,Diogo Jota,,yellow_card
ENG-Premier League,1819,2019-01-19 Wolves-Leicester City,Leicester City,47’,2:1,Demarai Gray,Jamie Vardy,goal
ENG-Premier League,1819,2019-01-19 Wolves-Leicester City,Leicester City,48’,2:1,Jonny Evans,Harry Maguire,substitute_in
ENG-Premier League,1819,2019-01-19 Wolves-Leicester City,Wolverhampton Wanderers,4’,1:0,Diogo Jota,João Moutinho,goal
ENG-Premier League,1819,2019-01-19 Wolves-Leicester City,Leicester City,51’,2:2,Conor Coady,,own_goal
ENG-Premier League,1819,2019-01-19 Wolves-Leicester City,Leicester City,58’,2:2,Wilfred Ndidi,,yellow_card
ENG-Premier League,1819,2019-01-19 Wolves-Leicester City,Wolverhampton Wanderers,64’,3:2,Diogo Jota,Rúben Neves,goal
ENG-Premier League,1819,2019-01-19 Wolves-Leicester City,Wolverhampton Wanderers,73’,3:2,Matt Doherty,Rúben Vinagre,substitute_in
ENG-Premier League,1819,2019-01-19 Wolves-Leicester City,Leicester City,73’,3:2,James Maddison,Harvey Barnes,substitute_in
ENG-Premier League,1819,2019-01-19 Wolves-Leicester City,Wolverhampton Wanderers,81’,3:2,Morgan Gibbs-White,João Moutinho,substitute_in
ENG-Premier League,1819,2019-01-19 Wolves-Leicester City,Leicester City,83’,3:2,Kelechi Iheanacho,Danny Simpson,substitute_in
ENG-Premier League,1819,2019-01-19 Wolves-Leicester City,Wolverhampton Wanderers,86’,3:2,Jonny Castro,,yellow_card
ENG-Premier League,1819,2019-01-19 Wolves-Leicester City,Leicester City,87’,3:3,Wes Morgan,James Maddison,goal
ENG-Premier League,1819,2019-01-19 Wolves-Leicester City,Wolverhampton Wanderers,90+3’,4:3,Diogo Jota,Raúl Jiménez,goal
ENG-Premier League,1819,2019-05-04 Wolves-Fulham,Fulham,22’,0:0,Calum Chambers,,yellow_card
ENG-Premier League,1819,2019-05-04 Wolves-Fulham,Fulham,32’,0:0,Maxime Le Marchand,,yellow_card
ENG-Premier League,1819,2019-05-04 Wolves-Fulham,Fulham,73’,0:0,Cyrus Christie,,yellow_card
ENG-Premier League,1819,2019-05-04 Wolves-Fulham,Wolverhampton Wanderers,75’,1:0,Leander Dendoncker,Matt Doherty,goal
ENG-Premier League,1819,2019-05-04 Wolves-Fulham,Wolverhampton Wanderers,7’,0:0,Diogo Jota,,yellow_card
ENG-Premier League,1819,2019-05-04 Wolves-Fulham,Fulham,82’,1:0,Floyd Ayité,Ryan Sessegnon,substitute_in
ENG-Premier League,1819,2019-05-04 Wolves-Fulham,Fulham,88’,1:0,Harvey Elliott,Andre-Frank Zambo Anguissa,substitute_in
ENG-Premier League,1819,2019-05-04 Wolves-Fulham,Wolverhampton Wanderers,90+3’,1:0,Max Kilman,Willy Boly,substitute_in
ENG-Premier League,1819,2019-05-04 Wolves-Fulham,Wolverhampton Wanderers,90+3’,1:0,Will Norris,Rui Patrício,substitute_in
