league,season,game,team,minute,score,player1,player2,event_type
ENG-Premier League,1819,2018-08-25 Arsenal-West Ham United,West Ham United,25’,0:1,Marko Arnautović,Felipe Anderson,goal
ENG-Premier League,1819,2018-08-25 Arsenal-West Ham United,Arsenal,30’,1:1,Nacho Monreal,Alex Iwobi,goal
ENG-Premier League,1819,2018-08-25 Arsenal-West Ham United,West Ham United,41’,1:1,Issa Diop,,yellow_card
ENG-Premier League,1819,2018-08-25 Arsenal-West Ham United,Arsenal,46’,1:1,Alexandre Lacazette,Alex Iwobi,substitute_in
ENG-Premier League,1819,2018-08-25 Arsenal-West Ham United,Arsenal,56’,1:1,Lucas Torreira,Mattéo Guendouzi,substitute_in
ENG-Premier League,1819,2018-08-25 Arsenal-West Ham United,West Ham United,59’,1:1,Javier Hernández,Marko Arnautović,substitute_in
ENG-Premier League,1819,2018-08-25 Arsenal-West Ham United,West Ham United,63’,1:1,Lucas Pérez,Michail Antonio,substitute_in
ENG-Premier League,1819,2018-08-25 Arsenal-West Ham United,Arsenal,70’,2:1,Issa Diop,,own_goal
ENG-Premier League,1819,2018-08-25 Arsenal-West Ham United,Arsenal,75’,2:1,Danny Welbeck,Pierre-Emerick Aubameyang,substitute_in
ENG-Premier League,1819,2018-08-25 Arsenal-West Ham United,West Ham United,75’,2:1,Andriy Yarmolenko,Robert Snodgrass,substitute_in
ENG-Premier League,1819,2018-08-25 Arsenal-West Ham United,West Ham United,80’,2:1,Ryan Fredericks,,yellow_card
ENG-Premier League,1819,2018-08-25 Arsenal-West Ham United,West Ham United,88’,2:1,Jack Wilshere,,yellow_card
ENG-Premier League,1819,2018-08-25 Arsenal-West Ham United,Arsenal,90+2’,3:1,Danny Welbeck,Héctor Bellerín,goal
ENG-Premier League,1819,2018-08-25 Arsenal-West Ham United,Arsenal,90’,2:1,Sokratis Papastathopoulos,,yellow_card
ENG-Premier League,1819,2019-02-09 Crystal Palace-West Ham United,West Ham United,27’,0:1,Mark Noble,,penalty_goal
ENG-Premier League,1819,2019-02-09 Crystal Palace-West Ham United,Crystal Palace,35’,0:1,Aaron Wan-Bissaka,,yellow_card
ENG-Premier League,1819,2019-02-09 Crystal Palace-West Ham United,Crystal Palace,43’,0:1,Luka Milivojević,,yellow_card
ENG-Premier League,1819,2019-02-09 Crystal Palace-West Ham United,Crystal Palace,45+1’,0:1,James McArthur,,yellow_card
ENG-Premier League,1819,2019-02-09 Crystal Palace-West Ham United,Crystal Palace,60’,0:1,Michy Batshuayi,Christian Benteke,substitute_in
ENG-Premier League,1819,2019-02-09 Crystal Palace-West Ham United,West Ham United,68’,0:1,Marko Arnautović,Javier Hernández,substitute_in
ENG-Premier League,1819,2019-02-09 Crystal Palace-West Ham United,West Ham United,73’,0:1,Pedro Obiang,Michail Antonio,substitute_in
ENG-Premier League,1819,2019-02-09 Crystal Palace-West Ham United,Crystal Palace,76’,1:1,Wilfried Zaha,James McArthur,goal
ENG-Premier League,1819,2019-02-09 Crystal Palace-West Ham United,Crystal Palace,79’,1:1,Max Meyer,James McArthur,substitute_in
ENG-Premier League,1819,2019-02-09 Crystal Palace-West Ham United,West Ham United,84’,1:1,Pablo Zabaleta,Ryan Fredericks,substitute_in
ENG-Premier League,1819,2018-12-22 Bournemouth-Brighton,Bournemouth,21’,1:0,David Brooks,Joshua King,goal
ENG-Premier League,1819,2018-12-22 Bournemouth-Brighton,Bournemouth,31’,1:0,Jefferson Lerma,,yellow_card
ENG-Premier League,1819,2018-12-22 Bournemouth-Brighton,Bournemouth,43’,1:0,David Brooks,,yellow_card
ENG-Premier League,1819,2018-12-22 Bournemouth-Brighton,Brighton & Hove Albion,62’,1:0,Lewis Dunk,,yellow_card
ENG-Premier League,1819,2018-12-22 Bournemouth-Brighton,Bournemouth,65’,1:0,Ryan Fraser,Junior Stanislas,substitute_in
ENG-Premier League,1819,2018-12-22 Bournemouth-Brighton,Brighton & Hove Albion,70’,1:0,Anthony Knockaert,Jürgen Locadia,substitute_in
ENG-Premier League,1819,2018-12-22 Bournemouth-Brighton,Brighton & Hove Albion,73’,1:0,Lewis Dunk,,yellow_red_card
ENG-Premier League,1819,2018-12-22 Bournemouth-Brighton,Brighton & Hove Albion,76’,1:0,Gaëtan Bong,Pascal Groß,substitute_in
ENG-Premier League,1819,2018-12-22 Bournemouth-Brighton,Bournemouth,77’,2:0,David Brooks,Ryan Fraser,goal
ENG-Premier League,1819,2018-12-22 Bournemouth-Brighton,Brighton & Hove Albion,80’,2:0,Glenn Murray,Florin Andone,substitute_in
ENG-Premier League,1819,2018-12-22 Bournemouth-Brighton,Bournemouth,86’,2:0,Lys Mousset,Joshua King,substitute_in
ENG-Premier League,1819,2018-12-22 Bournemouth-Brighton,Bournemouth,90+2’,2:0,Jordon Ibe,David Brooks,substitute_in
ENG-Premier League,1819,2018-12-04 West Ham United-Cardiff City,Cardiff City,35’,0:0,Joe Ralls,Łukasz Fabiański,penalty_miss
ENG-Premier League,1819,2018-12-04 West Ham United-Cardiff City,West Ham United,36’,0:0,Marko Arnautović,,yellow_card
ENG-Premier League,1819,2018-12-04 West Ham United-Cardiff City,West Ham United,40’,0:0,Lucas Pérez,Marko Arnautović,substitute_in
ENG-Premier League,1819,2018-12-04 West Ham United-Cardiff City,Cardiff City,40’,0:0,Joe Ralls,,yellow_card
ENG-Premier League,1819,2018-12-04 West Ham United-Cardiff City,West Ham United,49’,1:0,Lucas Pérez,Robert Snodgrass,goal
ENG-Premier League,1819,2018-12-04 West Ham United-Cardiff City,West Ham United,54’,2:0,Lucas Pérez,Arthur Masuaku,goal
ENG-Premier League,1819,2018-12-04 West Ham United-Cardiff City,West Ham United,61’,3:0,Michail Antonio,Robert Snodgrass,goal
ENG-Premier League,1819,2018-12-04 West Ham United-Cardiff City,West Ham United,64’,3:0,Andy Carroll,Javier Hernández,substitute_in
ENG-Premier League,1819,2018-12-04 West Ham United-Cardiff City,Cardiff City,64’,3:0,Nathaniel Mendez-Laing,Joe Ralls,substitute_in
ENG-Premier League,1819,2018-12-04 West Ham United-Cardiff City,Cardiff City,64’,3:0,Josh Murphy,Junior Hoilett,substitute_in
ENG-Premier League,1819,2018-12-04 West Ham United-Cardiff City,Cardiff City,65’,3:0,Sol Bamba,,yellow_card
ENG-Premier League,1819,2018-12-04 West Ham United-Cardiff City,Cardiff City,73’,3:0,Kadeem Harris,Callum Paterson,substitute_in
