Calibracion,Mercado,Gestion Capital,Banca Final,Monto Apostado,ROI,Total Apuestas,Win Rate,Max Drawdown
ISO,DOUBLE_CHANCE_X2,FLAT,$787.19,$4740.00,-4.49%,474,48.95%,38.52%
ISO,DOUBLE_CHANCE_X2,KELLY,$18.04,$12909.15,-7.61%,474,48.95%,99.51%
ISO,DOUBLE_CHANCE_X2,HALF,$231.29,$12224.17,-6.29%,474,48.95%,88.95%
ISO,DOUBLE_CHANCE_X2,QUARTER,$551.74,$8300.94,-5.40%,474,48.95%,64.29%
ISO,DOUBLE_CHANCE_X2,EDGE,$231.78,$12661.68,-6.07%,474,48.95%,89.43%
ISO,OVER,FLAT,$839.00,$7440.00,-2.16%,744,52.02%,24.63%
ISO,OVER,KELLY,$11.96,$16846.31,-5.87%,744,52.02%,99.11%
ISO,OVER,HALF,$240.41,$20516.23,-3.70%,744,52.02%,79.79%
ISO,OVER,QUARTER,$595.96,$14496.91,-2.79%,744,52.02%,49.02%
ISO,OVER,EDGE,$210.09,$16954.36,-4.66%,744,52.02%,82.00%
ISO,UNDER,FLAT,$991.90,$7760.00,-0.10%,776,43.30%,43.44%
ISO,UNDER,KELLY,$8.09,$176244.34,-0.56%,776,43.30%,99.97%
ISO,UNDER,HALF,$275.77,$68774.41,-1.05%,776,43.30%,96.26%
ISO,UNDER,QUARTER,$698.14,$25830.32,-1.17%,776,43.30%,77.50%
ISO,UNDER,EDGE,$273.10,$75200.06,-0.97%,776,43.30%,97.41%
ISO,BTTS,FLAT,$830.88,$3020.00,-5.60%,302,50.33%,29.27%
ISO,BTTS,KELLY,$73.28,$7816.99,-11.86%,302,50.33%,95.85%
ISO,BTTS,HALF,$363.58,$7259.59,-8.77%,302,50.33%,76.83%
ISO,BTTS,QUARTER,$648.52,$5075.61,-6.92%,302,50.33%,50.31%
ISO,BTTS,EDGE,$379.41,$7143.16,-8.69%,302,50.33%,77.47%
ISO,BTTS_NO,FLAT,$444.39,$8950.00,-6.21%,895,42.79%,64.25%
ISO,BTTS_NO,KELLY,$0.99,$14271.88,-7.00%,685,44.67%,99.90%
ISO,BTTS_NO,HALF,$21.45,$18351.80,-5.33%,895,42.79%,98.50%
ISO,BTTS_NO,QUARTER,$193.03,$13687.15,-5.90%,895,42.79%,85.40%
ISO,BTTS_NO,EDGE,$18.84,$17728.17,-5.53%,895,42.79%,98.71%
ISO,HOME_CLEAN_SHEET,FLAT,$146.53,$10880.00,-7.84%,1088,21.69%,99.13%
ISO,HOME_CLEAN_SHEET,KELLY,$0.99,$34413.54,-2.90%,398,24.12%,99.99%
ISO,HOME_CLEAN_SHEET,HALF,$1.95,$19892.21,-5.02%,922,22.23%,99.95%
ISO,HOME_CLEAN_SHEET,QUARTER,$59.42,$13487.36,-6.97%,1088,21.69%,97.94%
ISO,HOME_CLEAN_SHEET,EDGE,$1.95,$21070.16,-4.74%,911,22.61%,99.95%
ISO,PORTFOLIO,FLAT,$8.73,$21160.00,-4.68%,2116,28.59%,99.53%
ISO,PORTFOLIO,KELLY,$0.99,$68113.80,-1.47%,850,31.53%,99.99%
ISO,PORTFOLIO,HALF,$1.98,$86266.31,-1.16%,1588,30.10%,99.96%
ISO,PORTFOLIO,QUARTER,$19.61,$56800.62,-1.73%,2321,28.91%,99.72%
ISO,PORTFOLIO,EDGE,$1.95,$79578.20,-1.25%,1409,30.09%,99.95%
SIG,1X2,FLAT,$249.80,$19920.00,-3.77%,1992,24.20%,96.71%
SIG,1X2,KELLY,$0.91,$25732.26,-3.88%,703,24.04%,99.98%
SIG,1X2,HALF,$1.95,$44922.69,-2.22%,1573,24.60%,99.94%
SIG,1X2,QUARTER,$58.87,$35326.63,-2.66%,1992,24.20%,98.66%
SIG,1X2,EDGE,$1.98,$47319.67,-2.11%,1157,23.94%,99.93%
SIG,DOUBLE_CHANCE_1X,FLAT,$368.84,$4690.00,-13.46%,469,47.76%,65.88%
SIG,DOUBLE_CHANCE_1X,KELLY,$0.96,$5229.27,-19.10%,392,47.45%,99.93%
SIG,DOUBLE_CHANCE_1X,HALF,$26.71,$5672.27,-17.16%,469,47.76%,97.84%
SIG,DOUBLE_CHANCE_1X,QUARTER,$184.92,$5164.33,-15.78%,469,47.76%,83.41%
SIG,DOUBLE_CHANCE_1X,EDGE,$27.28,$6361.27,-15.29%,469,47.76%,97.95%
SIG,DOUBLE_CHANCE_X2,FLAT,$1057.44,$4200.00,1.37%,420,47.38%,27.73%
SIG,DOUBLE_CHANCE_X2,KELLY,$100.35,$19663.37,-4.58%,420,47.38%,98.70%
SIG,DOUBLE_CHANCE_X2,HALF,$509.45,$14769.91,-3.32%,420,47.38%,85.27%
SIG,DOUBLE_CHANCE_X2,QUARTER,$804.80,$8488.56,-2.30%,420,47.38%,59.08%
SIG,DOUBLE_CHANCE_X2,EDGE,$616.71,$17310.89,-2.21%,420,47.38%,86.06%
SIG,OVER,FLAT,$871.30,$5530.00,-2.33%,553,48.64%,24.20%
SIG,OVER,KELLY,$15.83,$7685.16,-12.81%,553,48.64%,98.74%
SIG,OVER,HALF,$235.66,$10468.33,-7.30%,553,48.64%,83.04%
SIG,OVER,QUARTER,$567.38,$8619.57,-5.02%,553,48.64%,54.78%
SIG,OVER,EDGE,$309.11,$11020.41,-6.27%,553,48.64%,82.02%
SIG,UNDER,FLAT,$728.30,$7880.00,-3.45%,788,38.83%,56.77%
SIG,UNDER,KELLY,$0.93,$142008.59,-0.70%,728,38.74%,99.99%
SIG,UNDER,HALF,$116.32,$57504.42,-1.54%,788,38.83%,98.57%
SIG,UNDER,QUARTER,$463.71,$22346.30,-2.40%,788,38.83%,86.06%
SIG,UNDER,EDGE,$90.99,$54013.63,-1.68%,788,38.83%,98.88%
SIG,BTTS,FLAT,$856.03,$2660.00,-5.41%,266,48.12%,28.36%
SIG,BTTS,KELLY,$77.84,$7362.61,-12.52%,266,48.12%,95.47%
SIG,BTTS,HALF,$367.27,$6614.86,-9.57%,266,48.12%,75.64%
SIG,BTTS,QUARTER,$648.72,$4489.18,-7.83%,266,48.12%,49.02%
SIG,BTTS,EDGE,$375.96,$6425.79,-9.71%,266,48.12%,75.62%
SIG,BTTS_NO,FLAT,$230.82,$7360.00,-10.45%,736,39.13%,88.06%
SIG,BTTS_NO,KELLY,$0.99,$6552.90,-15.25%,494,40.69%,99.92%
SIG,BTTS_NO,HALF,$12.06,$8584.82,-11.51%,736,39.13%,99.31%
SIG,BTTS_NO,QUARTER,$138.64,$7760.74,-11.10%,736,39.13%,89.69%
SIG,BTTS_NO,EDGE,$10.16,$8302.18,-11.92%,736,39.13%,99.44%
SIG,HOME_CLEAN_SHEET,FLAT,$5.42,$9730.00,-10.22%,973,21.17%,99.56%
SIG,HOME_CLEAN_SHEET,KELLY,$0.96,$32378.58,-3.09%,393,22.65%,99.99%
SIG,HOME_CLEAN_SHEET,HALF,$1.99,$17585.11,-5.68%,897,21.52%,99.94%
SIG,HOME_CLEAN_SHEET,QUARTER,$46.76,$11780.61,-8.09%,1069,20.86%,98.21%
SIG,HOME_CLEAN_SHEET,EDGE,$1.93,$13367.75,-7.47%,807,21.81%,99.92%
SIG,PORTFOLIO,FLAT,$7.08,$18410.00,-5.39%,1841,24.44%,99.61%
SIG,PORTFOLIO,KELLY,$0.98,$28056.87,-3.56%,585,25.13%,99.98%
SIG,PORTFOLIO,HALF,$1.97,$43750.48,-2.28%,1269,25.06%,99.94%
SIG,PORTFOLIO,QUARTER,$8.81,$34953.50,-2.84%,2255,24.48%,99.84%
SIG,PORTFOLIO,EDGE,$1.96,$51761.74,-1.93%,1201,25.15%,99.95%
