Estrategia,Filtro Cuotas,Filtro Probabilidad,Filtro Kelly,Banca Final,ROI,Apuestas,Win Rate,Max Drawdown
FLAT,Sin Filtro,Sin Filtro,N/A,1334.4151575307458,1.4389636726796282,2324,29.948364888123923,51.538646371122056
FLAT,Sin Filtro,Prob >= 20%,N/A,676.0939466432918,-1.4070636548944793,2302,31.364031277150307,77.48463031032988
FLAT,Sin Filtro,Prob >= 30%,N/A,1054.4600227493763,0.24377807855584674,2234,36.61593554162936,45.882116392247276
FLAT,Sin Filtro,Prob >= 40%,N/A,732.2291291357878,-1.2500974363408623,2142,44.58450046685341,50.97924382100826
FLAT,Moderado (1.4-5.0),Sin Filtro,N/A,526.438091531597,-2.116004952941926,2238,37.0420017873101,68.2658652770397
FLAT,Moderado (1.4-5.0),Prob >= 20%,N/A,526.438091531597,-2.116004952941926,2238,37.0420017873101,68.2658652770397
FLAT,Moderado (1.4-5.0),Prob >= 30%,N/A,558.758574165339,-2.001094901744499,2205,38.59410430839002,63.871795260423156
FLAT,Moderado (1.4-5.0),Prob >= 40%,N/A,680.054767223615,-1.5035020337236187,2128,44.266917293233085,52.85203372122405
FLAT,Conservador (1.6-4.0),Sin Filtro,N/A,568.1522067904291,-1.9773250604833776,2184,40.61355311355312,62.34901705914761
FLAT,Conservador (1.6-4.0),Prob >= 20%,N/A,568.1522067904291,-1.9773250604833776,2184,40.61355311355312,62.34901705914761
FLAT,Conservador (1.6-4.0),Prob >= 30%,N/A,543.5327482399889,-2.093886475963345,2180,40.73394495412844,64.9073454677839
FLAT,Conservador (1.6-4.0),Prob >= 40%,N/A,530.9351183445993,-2.226221555080214,2107,44.18604651162791,60.219614316090585
QUARTER,Sin Filtro,Sin Filtro,Sin Filtro,174.95244822455146,-0.7900676066896324,2324,29.948364888123923,98.22004964375631
QUARTER,Sin Filtro,Sin Filtro,Kelly >= 0.2%,174.95244822455146,-0.7900676066896324,2324,29.948364888123923,98.22004964375631
QUARTER,Sin Filtro,Sin Filtro,Kelly >= 0.4%,174.95244822455146,-0.7900676066896324,2324,29.948364888123923,98.22004964375631
QUARTER,Sin Filtro,Prob >= 20%,Sin Filtro,65.00570792065635,-1.8372114885686706,2302,31.364031277150307,98.74084787589584
