Mercado,Modelo,Línea Base,Optimizado,Mejora,¿Mejoró?,Hiperparámetros
Under 2.5 Goals,XGBoost (L1/L2 Regularized),0.5425531914893617,0.5734042553191488,0.030851063829787195,SÍ,"{'learning_rate': 0.0032823012618195075, 'n_estimators': 194, 'max_depth': 2, 'reg_lambda': 0.0011158859764971935, 'reg_alpha': 0.031331713171752325}"
Under 2.5 Goals,Neural Network (Dropout),0.5163120567375886,0.5478723404255319,0.03156028368794328,SÍ,"{'hidden_dim': 32, 'dropout_rate': 0.46688570108086347, 'lr': 0.0445175098821804, 'epochs': 50, 'batch_size': 32}"
BTTS (Both Teams To Score),Logistic Regression (Elastic Net),0.5127659574468085,0.5336879432624114,0.020921985815602895,SÍ,"{'C': 0.0024320689957604657, 'l1_ratio': 0.4834232249416206}"
BTTS (Both Teams To Score),Random Forest,0.5074468085106384,0.5219858156028369,0.014539007092198464,SÍ,"{'n_estimators': 498, 'max_depth': 3, 'min_samples_split': 17, 'min_samples_leaf': 18}"
BTTS (Both Teams To Score),HistGradientBoosting (Early Stopping),0.5322695035460991,0.5460992907801419,0.013829787234042712,SÍ,"{'learning_rate': 0.0011204090635264137, 'max_iter': 295, 'max_depth': 5, 'l2_regularization': 0.5581180839571017}"
BTTS (Both Teams To Score),XGBoost (L1/L2 Regularized),0.5056737588652482,0.5283687943262411,0.02269503546099283,SÍ,"{'learning_rate': 0.003683601721979015, 'n_estimators': 247, 'max_depth': 3, 'reg_lambda': 1.4906037395765457, 'reg_alpha': 0.046930947520942054}"
BTTS (Both Teams To Score),Neural Network (Dropout),0.4992907801418439,0.5322695035460994,0.03297872340425545,SÍ,"{'hidden_dim': 32, 'dropout_rate': 0.43365765177424154, 'lr': 0.03534133467563411, 'epochs': 100, 'batch_size': 32}"
BTTS - No,Logistic Regression (Elastic Net),0.5127659574468085,0.5336879432624114,0.020921985815602895,SÍ,"{'C': 0.004661215556210333, 'l1_ratio': 0.7011882221394186}"
BTTS - No,Random Forest,0.5102836879432624,0.5131205673758864,0.0028368794326240065,SÍ,"{'n_estimators': 204, 'max_depth': 3, 'min_samples_split': 16, 'min_samples_leaf': 3}"
BTTS - No,HistGradientBoosting (Early Stopping),0.5351063829787235,0.5375886524822695,0.0024822695035460196,SÍ,"{'learning_rate': 0.17810164301453868, 'max_iter': 54, 'max_depth': 10, 'l2_regularization': 0.035459020416843144}"
BTTS - No,XGBoost (L1/L2 Regularized),0.5056737588652482,0.525531914893617,0.019858156028368712,SÍ,"{'learning_rate': 0.0015969831358914502, 'n_estimators': 202, 'max_depth': 5, 'reg_lambda': 0.03741781492717582, 'reg_alpha': 0.0012933077731752708}"
BTTS - No,Neural Network (Dropout),0.5191489361702128,0.5393617021276595,0.0202127659574467,SÍ,"{'hidden_dim': 64, 'dropout_rate': 0.17351178401583567, 'lr': 0.03190324881372802, 'epochs': 100, 'batch_size': 128}"
Home Clean Sheet,Logistic Regression (Elastic Net),0.700354609929078,0.7085106382978724,0.008156028368794366,SÍ,"{'C': 0.0014869901052911346, 'l1_ratio': 0.9217398618285565}"
Home Clean Sheet,Random Forest,0.701418439716312,0.7088652482269504,0.007446808510638392,SÍ,"{'n_estimators': 365, 'max_depth': 14, 'min_samples_split': 8, 'min_samples_leaf': 17}"
Home Clean Sheet,HistGradientBoosting (Early Stopping),0.7063829787234044,0.7088652482269504,0.0024822695035460196,SÍ,"{'learning_rate': 0.009292958066889784, 'max_iter': 164, 'max_depth': 7, 'l2_regularization': 0.004168430236612555}"
Home Clean Sheet,XGBoost (L1/L2 Regularized),0.6936170212765957,0.7085106382978724,0.014893617021276673,SÍ,"{'learning_rate': 0.001379787653971675, 'n_estimators': 277, 'max_depth': 2, 'reg_lambda': 0.003064491473666575, 'reg_alpha': 3.7445965299449777}"
Home Clean Sheet,Neural Network (Dropout),0.6712765957446809,0.7046099290780141,0.033333333333333215,SÍ,"{'hidden_dim': 32, 'dropout_rate': 0.48165875575083905, 'lr': 0.016730506130998208, 'epochs': 50, 'batch_size': 128}"
