conf,stake,strategy,kelly_frac,vig,min_odds,total_bets,wins,win_rate,net_profit,final_bankroll,roi,sharpe
0.52,20,kelly,0.07,0.95,1.6,455,258,56.7,-14.87,985.13,-0.16,-0.8233
0.52,20,kelly,0.07,0.98,1.1,697,424,60.83,12.03,1012.03,0.09,0.5539
0.52,20,kelly,0.07,0.98,1.2,697,424,60.83,12.03,1012.03,0.09,0.5539
0.52,20,kelly,0.07,0.98,1.3,694,421,60.66,11.21,1011.21,0.08,0.5159
0.52,20,kelly,0.07,0.98,1.4,677,410,60.56,13.0,1013.0,0.1,0.6037
0.52,20,kelly,0.07,0.98,1.5,619,371,59.94,14.36,1014.36,0.12,0.687
0.52,20,kelly,0.07,0.98,1.6,531,307,57.82,2.7,1002.7,0.03,0.1359
0.52,20,kelly,0.07,1.0,1.1,697,424,60.83,26.5,1026.5,0.19,1.1956
0.52,20,kelly,0.07,1.0,1.2,697,424,60.83,26.5,1026.5,0.19,1.1956
0.52,20,kelly,0.07,1.0,1.3,696,423,60.78,26.21,1026.21,0.19,1.1827
0.52,20,kelly,0.07,1.0,1.4,690,420,60.87,28.21,1028.21,0.2,1.2775
0.52,20,kelly,0.07,1.0,1.5,636,382,60.06,26.97,1026.97,0.21,1.2521
0.52,20,kelly,0.07,1.0,1.6,566,334,59.01,22.25,1022.25,0.2,1.0762
0.52,20,kelly,0.1,0.85,1.1,696,423,60.78,-82.12,917.88,-0.59,-4.3588
0.52,20,kelly,0.1,0.85,1.2,683,416,60.91,-77.28,922.72,-0.57,-4.1329
0.52,20,kelly,0.1,0.85,1.3,619,371,59.94,-69.66,930.34,-0.56,-3.8423
0.52,20,kelly,0.1,0.85,1.4,510,295,57.84,-63.82,936.18,-0.63,-3.7751
0.52,20,kelly,0.1,0.85,1.5,290,156,53.79,-45.83,954.17,-0.79,-3.4465
0.52,20,kelly,0.1,0.85,1.6,70,38,54.29,-8.63,991.37,-0.62,-1.2818
0.52,20,kelly,0.1,0.9,1.1,697,424,60.83,-45.85,954.15,-0.33,-2.2983
0.52,20,kelly,0.1,0.9,1.2,693,421,60.75,-45.36,954.64,-0.33,-2.2769
0.52,20,kelly,0.1,0.9,1.3,673,407,60.48,-43.21,956.79,-0.32,-2.1879
0.52,20,kelly,0.1,0.9,1.4,604,363,60.1,-33.44,966.56,-0.28,-1.7606
0.52,20,kelly,0.1,0.9,1.5,481,273,56.76,-41.42,958.58,-0.43,-2.3633
0.52,20,kelly,0.1,0.9,1.6,262,141,53.82,-27.4,972.6,-0.52,-2.0395
0.52,20,kelly,0.1,0.95,1.1,697,424,60.83,-9.67,990.33,-0.07,-0.4594
0.52,20,kelly,0.1,0.95,1.2,697,424,60.83,-9.67,990.33,-0.07,-0.4594
0.52,20,kelly,0.1,0.95,1.3,692,421,60.84,-8.38,991.62,-0.06,-0.399
0.52,20,kelly,0.1,0.95,1.4,650,392,60.31,-6.03,993.97,-0.05,-0.2928
0.52,20,kelly,0.1,0.95,1.5,586,348,59.39,-6.07,993.93,-0.05,-0.3053
0.52,20,kelly,0.1,0.95,1.6,455,258,56.7,-14.87,985.13,-0.16,-0.8233
0.52,20,kelly,0.1,0.98,1.1,697,424,60.83,12.03,1012.03,0.09,0.5539
0.52,20,kelly,0.1,0.98,1.2,697,424,60.83,12.03,1012.03,0.09,0.5539
0.52,20,kelly,0.1,0.98,1.3,694,421,60.66,11.21,1011.21,0.08,0.5159
0.52,20,kelly,0.1,0.98,1.4,677,410,60.56,13.0,1013.0,0.1,0.6037
0.52,20,kelly,0.1,0.98,1.5,619,371,59.94,14.36,1014.36,0.12,0.687
0.52,20,kelly,0.1,0.98,1.6,531,307,57.82,2.7,1002.7,0.03,0.1359
0.52,20,kelly,0.1,1.0,1.1,697,424,60.83,26.5,1026.5,0.19,1.1956
0.52,20,kelly,0.1,1.0,1.2,697,424,60.83,26.5,1026.5,0.19,1.1956
0.52,20,kelly,0.1,1.0,1.3,696,423,60.78,26.21,1026.21,0.19,1.1827
0.52,20,kelly,0.1,1.0,1.4,690,420,60.87,28.21,1028.21,0.2,1.2775
0.52,20,kelly,0.1,1.0,1.5,636,382,60.06,26.97,1026.97,0.21,1.2521
0.52,20,kelly,0.1,1.0,1.6,566,334,59.01,22.25,1022.25,0.2,1.0762
0.52,20,kelly,0.15,0.85,1.1,696,423,60.78,-82.12,917.88,-0.59,-4.3588
0.52,20,kelly,0.15,0.85,1.2,683,416,60.91,-77.28,922.72,-0.57,-4.1329
0.52,20,kelly,0.15,0.85,1.3,619,371,59.94,-69.66,930.34,-0.56,-3.8423
0.52,20,kelly,0.15,0.85,1.4,510,295,57.84,-63.82,936.18,-0.63,-3.7751
0.52,20,kelly,0.15,0.85,1.5,290,156,53.79,-45.83,954.17,-0.79,-3.4465
0.52,20,kelly,0.15,0.85,1.6,70,38,54.29,-8.63,991.37,-0.62,-1.2818
0.52,20,kelly,0.15,0.9,1.1,697,424,60.83,-45.85,954.15,-0.33,-2.2983
0.52,20,kelly,0.15,0.9,1.2,693,421,60.75,-45.36,954.64,-0.33,-2.2769
0.52,20,kelly,0.15,0.9,1.3,673,407,60.48,-43.21,956.79,-0.32,-2.1879
0.52,20,kelly,0.15,0.9,1.4,604,363,60.1,-33.44,966.56,-0.28,-1.7606
0.52,20,kelly,0.15,0.9,1.5,481,273,56.76,-41.42,958.58,-0.43,-2.3633
0.52,20,kelly,0.15,0.9,1.6,262,141,53.82,-27.4,972.6,-0.52,-2.0395
0.52,20,kelly,0.15,0.95,1.1,697,424,60.83,-9.67,990.33,-0.07,-0.4594
0.52,20,kelly,0.15,0.95,1.2,697,424,60.83,-9.67,990.33,-0.07,-0.4594
0.52,20,kelly,0.15,0.95,1.3,692,421,60.84,-8.38,991.62,-0.06,-0.399
0.52,20,kelly,0.15,0.95,1.4,650,392,60.31,-6.03,993.97,-0.05,-0.2928
0.52,20,kelly,0.15,0.95,1.5,586,348,59.39,-6.07,993.93,-0.05,-0.3053
0.52,20,kelly,0.15,0.95,1.6,455,258,56.7,-14.87,985.13,-0.16,-0.8233
0.52,20,kelly,0.15,0.98,1.1,697,424,60.83,12.03,1012.03,0.09,0.5539
0.52,20,kelly,0.15,0.98,1.2,697,424,60.83,12.03,1012.03,0.09,0.5539
0.52,20,kelly,0.15,0.98,1.3,694,421,60.66,11.21,1011.21,0.08,0.5159
0.52,20,kelly,0.15,0.98,1.4,677,410,60.56,13.0,1013.0,0.1,0.6037
0.52,20,kelly,0.15,0.98,1.5,619,371,59.94,14.36,1014.36,0.12,0.687
0.52,20,kelly,0.15,0.98,1.6,531,307,57.82,2.7,1002.7,0.03,0.1359
0.52,20,kelly,0.15,1.0,1.1,697,424,60.83,26.5,1026.5,0.19,1.1956
0.52,20,kelly,0.15,1.0,1.2,697,424,60.83,26.5,1026.5,0.19,1.1956
0.52,20,kelly,0.15,1.0,1.3,696,423,60.78,26.21,1026.21,0.19,1.1827
0.52,20,kelly,0.15,1.0,1.4,690,420,60.87,28.21,1028.21,0.2,1.2775
0.52,20,kelly,0.15,1.0,1.5,636,382,60.06,26.97,1026.97,0.21,1.2521
0.52,20,kelly,0.15,1.0,1.6,566,334,59.01,22.25,1022.25,0.2,1.0762
0.55,20,kelly,0.03,0.85,1.1,508,321,63.19,-56.11,943.89,-0.55,-3.6441
0.55,20,kelly,0.03,0.85,1.2,495,314,63.43,-51.28,948.72,-0.52,-3.3682
0.55,20,kelly,0.03,0.85,1.3,431,269,62.41,-43.65,956.35,-0.51,-3.0068
0.55,20,kelly,0.03,0.85,1.4,322,193,59.94,-37.81,962.19,-0.59,-2.9172
0.55,20,kelly,0.03,0.85,1.5,102,54,52.94,-19.82,980.18,-0.97,-2.5836
0.55,20,kelly,0.03,0.85,1.6,0,0,0.0,0.0,1000.0,0.0,0.0
0.55,20,kelly,0.03,0.9,1.1,509,322,63.26,-29.37,970.63,-0.29,-1.8013
0.55,20,kelly,0.03,0.9,1.2,505,319,63.17,-28.88,971.12,-0.29,-1.775
0.55,20,kelly,0.03,0.9,1.3,485,305,62.89,-26.73,973.27,-0.28,-1.6646
0.55,20,kelly,0.03,0.9,1.4,416,261,62.74,-16.96,983.04,-0.2,-1.1221
0.55,20,kelly,0.03,0.9,1.5,293,171,58.36,-24.94,975.06,-0.43,-1.8845
0.55,20,kelly,0.03,0.9,1.6,74,39,52.7,-10.92,989.08,-0.74,-1.5718
0.55,20,kelly,0.03,0.95,1.1,509,322,63.26,-2.72,997.28,-0.03,-0.1582
0.55,20,kelly,0.03,0.95,1.2,509,322,63.26,-2.72,997.28,-0.03,-0.1582
0.55,20,kelly,0.03,0.95,1.3,504,319,63.29,-1.43,998.57,-0.01,-0.0835
0.55,20,kelly,0.03,0.95,1.4,462,290,62.77,0.92,1000.92,0.01,0.0552
0.55,20,kelly,0.03,0.95,1.5,398,246,61.81,0.88,1000.88,0.01,0.056
0.55,20,kelly,0.03,0.95,1.6,267,156,58.43,-7.92,992.08,-0.15,-0.5918
0.55,20,kelly,0.03,0.98,1.1,509,322,63.26,13.26,1013.26,0.13,0.7471
0.55,20,kelly,0.03,0.98,1.2,509,322,63.26,13.26,1013.26,0.13,0.7471
0.55,20,kelly,0.03,0.98,1.3,506,319,63.04,12.44,1012.44,0.12,0.7008
0.55,20,kelly,0.03,0.98,1.4,489,308,62.99,14.24,1014.24,0.15,0.8121
0.55,20,kelly,0.03,0.98,1.5,431,269,62.41,15.59,1015.59,0.18,0.9316
0.55,20,kelly,0.03,0.98,1.6,343,205,59.77,3.93,1003.93,0.06,0.2553
0.55,20,kelly,0.03,1.0,1.1,509,322,63.26,23.92,1023.92,0.23,1.3205
0.55,20,kelly,0.03,1.0,1.2,509,322,63.26,23.92,1023.92,0.23,1.3205
0.55,20,kelly,0.03,1.0,1.3,508,321,63.19,23.64,1023.64,0.23,1.3048
0.55,20,kelly,0.03,1.0,1.4,502,318,63.35,25.63,1025.63,0.26,1.4229
0.55,20,kelly,0.03,1.0,1.5,448,280,62.5,24.39,1024.39,0.27,1.4066
0.55,20,kelly,0.03,1.0,1.6,378,232,61.38,19.67,1019.67,0.26,1.2102
0.55,20,kelly,0.05,0.85,1.1,508,321,63.19,-56.11,943.89,-0.55,-3.6441
0.55,20,kelly,0.05,0.85,1.2,495,314,63.43,-51.28,948.72,-0.52,-3.3682
0.55,20,kelly,0.05,0.85,1.3,431,269,62.41,-43.65,956.35,-0.51,-3.0068
0.55,20,kelly,0.05,0.85,1.4,322,193,59.94,-37.81,962.19,-0.59,-2.9172
0.55,20,kelly,0.05,0.85,1.5,102,54,52.94,-19.82,980.18,-0.97,-2.5836
0.55,20,kelly,0.05,0.85,1.6,0,0,0.0,0.0,1000.0,0.0,0.0
0.55,20,kelly,0.05,0.9,1.1,509,322,63.26,-29.37,970.63,-0.29,-1.8013
0.55,20,kelly,0.05,0.9,1.2,505,319,63.17,-28.88,971.12,-0.29,-1.775
0.55,20,kelly,0.05,0.9,1.3,485,305,62.89,-26.73,973.27,-0.28,-1.6646
0.55,20,kelly,0.05,0.9,1.4,416,261,62.74,-16.96,983.04,-0.2,-1.1221
0.55,20,kelly,0.05,0.9,1.5,293,171,58.36,-24.94,975.06,-0.43,-1.8845
0.55,20,kelly,0.05,0.9,1.6,74,39,52.7,-10.92,989.08,-0.74,-1.5718
0.55,20,kelly,0.05,0.95,1.1,509,322,63.26,-2.72,997.28,-0.03,-0.1582
0.55,20,kelly,0.05,0.95,1.2,509,322,63.26,-2.72,997.28,-0.03,-0.1582
0.55,20,kelly,0.05,0.95,1.3,504,319,63.29,-1.43,998.57,-0.01,-0.0835
0.55,20,kelly,0.05,0.95,1.4,462,290,62.77,0.92,1000.92,0.01,0.0552
0.55,20,kelly,0.05,0.95,1.5,398,246,61.81,0.88,1000.88,0.01,0.056
0.55,20,kelly,0.05,0.95,1.6,267,156,58.43,-7.92,992.08,-0.15,-0.5918
0.55,20,kelly,0.05,0.98,1.1,509,322,63.26,13.26,1013.26,0.13,0.7471
0.55,20,kelly,0.05,0.98,1.2,509,322,63.26,13.26,1013.26,0.13,0.7471
0.55,20,kelly,0.05,0.98,1.3,506,319,63.04,12.44,1012.44,0.12,0.7008
0.55,20,kelly,0.05,0.98,1.4,489,308,62.99,14.24,1014.24,0.15,0.8121
