strategy,stake_param,min_odds,season,n,bets,wins,losses,winrate%,roi%,final,ganancia
fixed,15000,1.4,all,60,13,4,9,30.8,-100.0,0.0,-100000.0
fixed,10000,1.4,all,60,47,25,22,53.2,-100.0,0.0,-100000.0
fixed,10000,1.6,2223,380,138,76,62,55.1,-100.0,0.0,-100000.0
fixed,5000,1.5,2223,380,197,110,87,55.8,-100.0,0.0,-100000.0
fixed,10000,1.5,2223,380,48,24,24,50.0,-100.0,0.0,-100000.0
fixed,15000,1.5,2223,380,37,19,18,51.4,-100.0,0.0,-100000.0
fixed,10000,1.5,all,60,34,15,19,44.1,-100.0,0.0,-100000.0
fixed,20000,1.3,all,60,12,5,7,41.7,-100.0,0.0,-100000.0
fixed,15000,1.3,all,60,16,7,9,43.8,-100.0,0.0,-100000.0
fixed,20000,1.6,2223,380,85,47,38,55.3,-100.0,0.0,-100000.0
fixed,15000,1.6,2223,380,114,63,51,55.3,-100.0,0.0,-100000.0
fixed,5000,1.8,2223,380,298,150,148,50.3,-100.0,0.0,-100000.0
fixed,10000,1.8,2223,380,202,104,98,51.5,-100.0,0.0,-100000.0
fixed,15000,1.8,2223,380,122,62,60,50.8,-100.0,0.0,-100000.0
fixed,20000,1.8,2223,380,21,8,13,38.1,-100.0,0.0,-100000.0
