strategy,stake_param,min_odds,season,n,bets,wins,losses,winrate%,roi%,final,ganancia
fixed,2500,1.6,all,60,60,28,32,46.7,-30.69,69313.0,-30687.0
fixed,2500,1.4,all,120,120,72,48,60.0,-31.26,68739.0,-31261.0
fixed,5000,1.3,all,60,60,39,21,65.0,-31.32,68676.0,-31324.0
fixed,1000,1.4,2223,380,380,233,147,61.3,-31.99,68007.0,-31993.0
fixed,1000,1.1,2223,380,380,286,94,75.3,-32.82,67184.0,-32816.0
fixed,2500,1.5,all,60,60,29,31,48.3,-33.05,66953.0,-33047.0
fixed,1000,1.4,2324,380,380,231,149,60.8,-33.09,66906.0,-33094.0
variable,5,1.5,all,60,60,29,31,48.3,-33.4,66605.0,-33395.0
variable,5,1.4,all,120,120,72,48,60.0,-34.01,65994.0,-34006.0
variable,2,1.4,2324,380,380,231,149,60.8,-34.62,65383.0,-34617.0
fixed,2500,1.5,2223,380,380,228,152,60.0,-34.95,65049.0,-34951.0
variable,5,1.8,2223,380,380,198,182,52.1,-35.26,64739.0,-35261.0
variable,2,1.2,2223,380,380,278,102,73.2,-35.63,64371.0,-35629.0
variable,2,1.4,2223,380,380,233,147,61.3,-35.67,64327.0,-35673.0
variable,7,1.5,all,120,120,69,51,57.5,-36.59,63410.0,-36590.0
variable,7,1.6,2223,380,380,220,160,57.9,-36.65,63348.0,-36652.0
fixed,2500,1.2,2324,380,380,288,92,75.8,-37.68,62324.0,-37676.0
variable,5,1.6,all,120,120,61,59,50.8,-38.45,61554.0,-38446.0
variable,7,1.3,all,120,120,81,39,67.5,-38.56,61438.0,-38562.0
variable,2,1.5,2324,380,380,212,168,55.8,-39.03,60974.0,-39026.0
variable,3,1.3,2324,380,380,260,120,68.4,-39.05,60953.0,-39047.0
fixed,2500,1.6,all,120,120,61,59,50.8,-39.16,60844.0,-39156.0
fixed,5000,1.3,all,120,120,81,39,67.5,-39.39,60610.0,-39390.0
variable,7,1.4,all,60,60,33,27,55.0,-39.57,60426.0,-39574.0
variable,5,1.0,all,120,120,94,26,78.3,-40.08,59921.0,-40079.0
variable,5,1.5,2223,380,380,228,152,60.0,-40.35,59654.0,-40346.0
variable,7,1.6,all,60,60,28,32,46.7,-40.37,59634.0,-40366.0
fixed,1000,1.5,2324,380,380,212,168,55.8,-40.38,59616.0,-40384.0
variable,10,1.0,all,60,60,47,13,78.3,-40.8,59199.0,-40801.0
variable,2,1.1,2223,380,380,286,94,75.3,-41.07,58935.0,-41065.0
variable,10,1.3,all,60,60,39,21,65.0,-41.11,58891.0,-41109.0
variable,3,1.6,2324,380,380,206,174,54.2,-41.92,58077.0,-41923.0
variable,7,1.5,all,60,60,29,31,48.3,-43.97,56025.0,-43975.0
fixed,1000,1.0,2324,380,380,286,94,75.3,-44.46,55539.0,-44461.0
variable,7,1.4,all,120,120,72,48,60.0,-45.15,54847.0,-45153.0
fixed,5000,1.5,all,120,120,69,51,57.5,-46.27,53733.0,-46267.0
variable,5,1.2,2324,380,380,288,92,75.8,-46.6,53397.0,-46603.0
variable,3,1.4,2324,380,380,231,149,60.8,-47.78,52216.0,-47784.0
variable,7,1.8,2223,380,380,198,182,52.1,-48.8,51199.0,-48801.0
variable,3,1.2,2223,380,380,278,102,73.2,-48.89,51114.0,-48886.0
variable,3,1.4,2223,380,380,233,147,61.3,-49.05,50946.0,-49054.0
fixed,5000,1.0,all,120,120,94,26,78.3,-49.9,50103.0,-49897.0
variable,10,1.5,all,120,120,69,51,57.5,-49.95,50047.0,-49953.0
variable,7,1.6,all,120,120,61,59,50.8,-50.31,49691.0,-50309.0
fixed,1000,1.3,2223,380,380,239,141,62.9,-50.78,49224.0,-50776.0
variable,2,1.3,2223,380,380,239,141,62.9,-51.47,48530.0,-51470.0
fixed,1000,1.0,2223,380,380,277,103,72.9,-51.81,48192.0,-51808.0
fixed,10000,1.0,all,60,60,47,13,78.3,-51.81,48188.0,-51812.0
variable,7,1.0,all,120,120,94,26,78.3,-51.95,48053.0,-51947.0
variable,10,1.3,all,120,120,81,39,67.5,-52.06,47939.0,-52061.0
variable,10,1.4,all,60,60,33,27,55.0,-52.36,47644.0,-52356.0
variable,3,1.5,2324,380,380,212,168,55.8,-53.0,46998.0,-53002.0
variable,10,1.6,all,60,60,28,32,46.7,-53.26,46737.0,-53263.0
variable,10,1.6,2223,380,380,220,160,57.9,-54.19,45811.0,-54189.0
variable,7,1.5,2223,380,380,228,152,60.0,-54.25,45750.0,-54250.0
fixed,2500,1.3,2324,380,380,260,120,68.4,-54.53,45468.0,-54532.0
fixed,5000,1.4,all,60,60,33,27,55.0,-54.81,45190.0,-54810.0
variable,3,1.1,2223,380,380,286,94,75.3,-55.21,44792.0,-55208.0
variable,2,1.0,2324,380,380,286,94,75.3,-56.32,43685.0,-56315.0
variable,15,1.0,all,60,60,47,13,78.3,-56.38,43624.0,-56376.0
variable,15,1.3,all,60,60,39,21,65.0,-57.15,42849.0,-57151.0
variable,10,1.5,all,60,60,29,31,48.3,-57.27,42729.0,-57271.0
variable,5,1.3,2324,380,380,260,120,68.4,-57.83,42170.0,-57830.0
variable,10,1.4,all,120,120,72,48,60.0,-59.3,40704.0,-59296.0
variable,2,1.0,2223,380,380,277,103,72.9,-59.95,40055.0,-59945.0
variable,7,1.2,2324,380,380,288,92,75.8,-60.31,39687.0,-60313.0
variable,5,1.6,2324,380,380,206,174,54.2,-61.29,38709.0,-61291.0
fixed,5000,1.6,all,60,60,28,32,46.7,-61.37,38626.0,-61374.0
fixed,5000,1.4,all,120,120,72,48,60.0,-62.52,37478.0,-62522.0
fixed,10000,1.3,all,60,60,39,21,65.0,-62.65,37352.0,-62648.0
variable,10,1.6,all,120,120,61,59,50.8,-64.74,35265.0,-64735.0
fixed,5000,1.5,all,60,60,29,31,48.3,-66.09,33905.0,-66095.0
variable,10,1.0,all,120,120,94,26,78.3,-66.1,33896.0,-66104.0
variable,10,1.8,2223,380,380,198,182,52.1,-66.28,33721.0,-66279.0
variable,3,1.3,2223,380,380,239,141,62.9,-66.62,33381.0,-66619.0
variable,5,1.4,2324,380,380,231,149,60.8,-67.53,32475.0,-67525.0
variable,15,1.5,all,120,120,69,51,57.5,-68.14,31861.0,-68139.0
variable,5,1.2,2223,380,380,278,102,73.2,-68.44,31555.0,-68445.0
variable,5,1.4,2223,380,380,233,147,61.3,-68.85,31147.0,-68853.0
variable,15,1.4,all,60,60,33,27,55.0,-68.9,31102.0,-68898.0
variable,15,1.6,all,60,60,28,32,46.7,-69.8,30202.0,-69798.0
variable,15,1.3,all,120,120,81,39,67.5,-70.0,29997.0,-70003.0
variable,10,1.5,2223,380,380,228,152,60.0,-71.18,28817.0,-71183.0
variable,3,1.0,2324,380,380,286,94,75.3,-71.46,28545.0,-71455.0
variable,7,1.3,2324,380,380,260,120,68.4,-71.73,28273.0,-71727.0
fixed,2500,1.2,2223,380,380,278,102,73.2,-72.36,27639.0,-72361.0
variable,5,1.5,2324,380,380,212,168,55.8,-72.8,27198.0,-72802.0
variable,15,1.5,all,60,60,29,31,48.3,-73.64,26363.0,-73637.0
fixed,2500,1.6,2324,380,380,206,174,54.2,-74.51,25492.0,-74508.0
variable,5,1.1,2223,380,380,286,94,75.3,-74.65,25348.0,-74652.0
variable,3,1.0,2223,380,380,277,103,72.9,-74.95,25051.0,-74949.0
variable,7,1.6,2324,380,380,206,174,54.2,-75.09,24909.0,-75091.0
variable,10,1.2,2324,380,380,288,92,75.8,-75.83,24165.0,-75835.0
variable,15,1.4,all,120,120,72,48,60.0,-76.6,23395.0,-76605.0
variable,15,1.6,2223,380,380,220,160,57.9,-77.6,22399.0,-77601.0
fixed,5000,1.6,all,120,120,61,59,50.8,-78.31,21688.0,-78312.0
fixed,2500,1.4,2223,380,380,233,147,61.3,-79.98,20017.0,-79983.0
variable,7,1.4,2324,380,380,231,149,60.8,-80.48,19522.0,-80478.0
variable,7,1.2,2223,380,380,278,102,73.2,-81.07,18928.0,-81072.0
variable,15,1.6,all,120,120,61,59,50.8,-81.23,18765.0,-81235.0
variable,7,1.4,2223,380,380,233,147,61.3,-81.6,18395.0,-81605.0
variable,15,1.0,all,120,120,94,26,78.3,-81.99,18010.0,-81990.0
fixed,2500,1.1,2223,380,380,286,94,75.3,-82.04,17961.0,-82039.0
fixed,10000,1.3,all,120,120,81,39,67.5,-82.23,17772.0,-82228.0
fixed,2500,1.4,2324,380,380,231,149,60.8,-82.74,17265.0,-82735.0
variable,5,1.3,2223,380,380,239,141,62.9,-84.61,15389.0,-84611.0
variable,7,1.5,2324,380,380,212,168,55.8,-84.81,15192.0,-84808.0
variable,10,1.3,2324,380,380,260,120,68.4,-85.39,14613.0,-85387.0
variable,15,1.8,2223,380,380,198,182,52.1,-85.91,14087.0,-85913.0
variable,7,1.1,2223,380,380,286,94,75.3,-86.05,13948.0,-86052.0
fixed,15000,1.0,all,60,60,47,13,78.3,-86.74,13260.0,-86740.0
variable,10,1.6,2324,380,380,206,174,54.2,-87.97,12028.0,-87972.0
variable,5,1.0,2324,380,380,286,94,75.3,-88.09,11905.0,-88095.0
variable,15,1.5,2223,380,380,228,152,60.0,-88.8,11199.0,-88801.0
variable,5,1.0,2223,380,380,277,103,72.9,-90.44,9563.0,-90437.0
variable,15,1.2,2324,380,380,288,92,75.8,-90.83,9171.0,-90829.0
variable,10,1.4,2324,380,380,231,149,60.8,-91.47,8527.0,-91473.0
variable,10,1.2,2223,380,380,278,102,73.2,-91.68,8318.0,-91682.0
variable,10,1.4,2223,380,380,233,147,61.3,-92.19,7814.0,-92186.0
variable,7,1.3,2223,380,380,239,141,62.9,-93.15,6850.0,-93150.0
variable,10,1.5,2324,380,380,212,168,55.8,-94.07,5929.0,-94071.0
variable,10,1.1,2223,380,380,286,94,75.3,-94.61,5393.0,-94607.0
fixed,10000,1.5,all,120,120,69,51,57.5,-94.78,5215.0,-94785.0
variable,7,1.0,2324,380,380,286,94,75.3,-95.19,4808.0,-95192.0
variable,15,1.3,2324,380,380,260,120,68.4,-95.88,4118.0,-95882.0
variable,7,1.0,2223,380,380,277,103,72.9,-96.47,3530.0,-96470.0
variable,15,1.6,2324,380,380,206,174,54.2,-97.02,2983.0,-97017.0
variable,10,1.3,2223,380,380,239,141,62.9,-98.1,1901.0,-98099.0
variable,15,1.2,2223,380,380,278,102,73.2,-98.19,1810.0,-98190.0
variable,15,1.4,2324,380,380,231,149,60.8,-98.21,1794.0,-98206.0
variable,15,1.4,2223,380,380,233,147,61.3,-98.44,1564.0,-98436.0
variable,10,1.0,2324,380,380,286,94,75.3,-98.84,1159.0,-98841.0
variable,15,1.5,2324,380,380,212,168,55.8,-98.97,1028.0,-98972.0
variable,15,1.1,2223,380,380,286,94,75.3,-99.05,950.0,-99050.0
variable,10,1.0,2223,380,380,277,103,72.9,-99.26,742.0,-99258.0
variable,15,1.3,2223,380,380,239,141,62.9,-99.81,186.0,-99814.0
variable,15,1.0,2324,380,380,286,94,75.3,-99.91,91.0,-99909.0
variable,15,1.0,2223,380,380,277,103,72.9,-99.95,46.0,-99954.0
fixed,10000,1.0,2324,380,102,78,24,76.5,-100.0,0.0,-100000.0
fixed,5000,1.5,2324,380,240,137,103,57.1,-100.0,0.0,-100000.0
fixed,5000,1.0,2324,380,152,112,40,73.7,-100.0,0.0,-100000.0
fixed,2500,1.0,2324,380,321,239,82,74.5,-100.0,0.0,-100000.0
fixed,2500,1.5,2324,380,372,207,165,55.6,-100.0,0.0,-100000.0
fixed,15000,1.2,2324,380,25,15,10,60.0,-100.0,0.0,-100000.0
fixed,10000,1.2,2324,380,57,37,20,64.9,-100.0,0.0,-100000.0
fixed,20000,1.0,all,60,46,35,11,76.1,-100.0,0.0,-100000.0
fixed,5000,1.2,2324,380,244,177,67,72.5,-100.0,0.0,-100000.0
fixed,20000,1.2,2324,380,14,7,7,50.0,-100.0,0.0,-100000.0
fixed,10000,1.5,2324,380,164,96,68,58.5,-100.0,0.0,-100000.0
fixed,15000,1.5,2324,380,80,46,34,57.5,-100.0,0.0,-100000.0
fixed,20000,1.5,2324,380,75,44,31,58.7,-100.0,0.0,-100000.0
fixed,5000,1.4,2324,380,246,150,96,61.0,-100.0,0.0,-100000.0
fixed,10000,1.4,2324,380,57,31,26,54.4,-100.0,0.0,-100000.0
fixed,15000,1.3,2324,380,25,13,12,52.0,-100.0,0.0,-100000.0
fixed,20000,1.3,2324,380,23,13,10,56.5,-100.0,0.0,-100000.0
fixed,15000,1.4,2324,380,48,27,21,56.2,-100.0,0.0,-100000.0
fixed,20000,1.4,2324,380,16,8,8,50.0,-100.0,0.0,-100000.0
fixed,5000,1.3,2324,380,173,111,62,64.2,-100.0,0.0,-100000.0
fixed,10000,1.3,2324,380,52,30,22,57.7,-100.0,0.0,-100000.0
fixed,10000,1.2,2223,380,59,39,20,66.1,-100.0,0.0,-100000.0
fixed,5000,1.2,2223,380,209,149,60,71.3,-100.0,0.0,-100000.0
fixed,15000,1.1,2223,380,30,19,11,63.3,-100.0,0.0,-100000.0
fixed,10000,1.0,all,120,106,82,24,77.4,-100.0,0.0,-100000.0
fixed,5000,1.1,2223,380,212,158,54,74.5,-100.0,0.0,-100000.0
fixed,10000,1.1,2223,380,78,56,22,71.8,-100.0,0.0,-100000.0
fixed,20000,1.1,2223,380,27,18,9,66.7,-100.0,0.0,-100000.0
fixed,20000,1.0,all,120,61,47,14,77.0,-100.0,0.0,-100000.0
fixed,20000,1.0,2223,380,19,12,7,63.2,-100.0,0.0,-100000.0
fixed,15000,1.0,2223,380,20,12,8,60.0,-100.0,0.0,-100000.0
fixed,10000,1.0,2223,380,34,21,13,61.8,-100.0,0.0,-100000.0
fixed,5000,1.0,2223,380,165,123,42,74.5,-100.0,0.0,-100000.0
fixed,10000,1.4,all,120,87,52,35,59.8,-100.0,0.0,-100000.0
fixed,2500,1.0,2223,380,229,160,69,69.9,-100.0,0.0,-100000.0
fixed,15000,1.0,all,120,62,47,15,75.8,-100.0,0.0,-100000.0
fixed,15000,1.3,all,120,72,47,25,65.3,-100.0,0.0,-100000.0
fixed,15000,1.4,all,120,21,10,11,47.6,-100.0,0.0,-100000.0
fixed,10000,1.6,all,120,22,7,15,31.8,-100.0,0.0,-100000.0
fixed,10000,1.6,2324,380,246,139,107,56.5,-100.0,0.0,-100000.0
fixed,20000,1.6,2324,380,72,41,31,56.9,-100.0,0.0,-100000.0
fixed,15000,1.0,2324,380,57,43,14,75.4,-100.0,0.0,-100000.0
fixed,5000,1.6,2324,380,273,149,124,54.6,-100.0,0.0,-100000.0
fixed,15000,1.6,2324,380,79,43,36,54.4,-100.0,0.0,-100000.0
fixed,20000,1.0,2324,380,51,39,12,76.5,-100.0,0.0,-100000.0
fixed,20000,1.5,all,120,17,7,10,41.2,-100.0,0.0,-100000.0
fixed,20000,1.4,all,120,16,7,9,43.8,-100.0,0.0,-100000.0
fixed,20000,1.6,all,120,12,4,8,33.3,-100.0,0.0,-100000.0
fixed,15000,1.6,all,120,16,5,11,31.2,-100.0,0.0,-100000.0
fixed,20000,1.3,all,120,71,47,24,66.2,-100.0,0.0,-100000.0
fixed,15000,1.5,all,120,18,7,11,38.9,-100.0,0.0,-100000.0
fixed,5000,1.3,2223,380,96,55,41,57.3,-100.0,0.0,-100000.0
fixed,10000,1.3,2223,380,57,34,23,59.6,-100.0,0.0,-100000.0
fixed,15000,1.5,all,60,29,14,15,48.3,-100.0,0.0,-100000.0
fixed,20000,1.5,all,60,12,4,8,33.3,-100.0,0.0,-100000.0
fixed,15000,1.4,2223,380,55,32,23,58.2,-100.0,0.0,-100000.0
fixed,20000,1.4,2223,380,24,13,11,54.2,-100.0,0.0,-100000.0
fixed,5000,1.4,2223,380,206,125,81,60.7,-100.0,0.0,-100000.0
fixed,10000,1.4,2223,380,159,100,59,62.9,-100.0,0.0,-100000.0
fixed,20000,1.3,2223,380,17,8,9,47.1,-100.0,0.0,-100000.0
fixed,15000,1.3,2223,380,22,11,11,50.0,-100.0,0.0,-100000.0
fixed,20000,1.2,2223,380,13,6,7,46.2,-100.0,0.0,-100000.0
fixed,15000,1.2,2223,380,18,8,10,44.4,-100.0,0.0,-100000.0
fixed,20000,1.8,all,60,20,8,12,40.0,-100.0,0.0,-100000.0
fixed,2500,1.3,2223,380,264,162,102,61.4,-100.0,0.0,-100000.0
fixed,20000,1.5,2223,380,29,15,14,51.7,-100.0,0.0,-100000.0
fixed,10000,1.6,all,60,48,22,26,45.8,-100.0,0.0,-100000.0
fixed,15000,1.6,all,60,12,3,9,25.0,-100.0,0.0,-100000.0
fixed,20000,1.6,all,60,7,1,6,14.3,-100.0,0.0,-100000.0
fixed,20000,1.4,all,60,11,4,7,36.4,-100.0,0.0,-100000.0
