league,season,game,team,minute,score,player1,player2,event_type
ENG-Premier League,2122,2022-02-20 Leeds United-Manchester Utd,Leeds United,31’,0:0,Junior Firpo,Robin Koch,substitute_in
ENG-Premier League,2122,2022-02-20 Leeds United-Manchester Utd,Manchester United,34’,0:1,Harry Maguire,Luke Shaw,goal
ENG-Premier League,2122,2022-02-20 Leeds United-Manchester Utd,Manchester United,45+5’,0:2,Bruno Fernandes,Jadon Sancho,goal
ENG-Premier League,2122,2022-02-20 Leeds United-Manchester Utd,Leeds United,46’,0:2,Raphinha,Jack Harrison,substitute_in
ENG-Premier League,2122,2022-02-20 Leeds United-Manchester Utd,Leeds United,46’,0:2,Joe Gelhardt,Diego Llorente,substitute_in
ENG-Premier League,2122,2022-02-20 Leeds United-Manchester Utd,Leeds United,53’,1:2,Rodrigo,Junior Firpo,goal
ENG-Premier League,2122,2022-02-20 Leeds United-Manchester Utd,Leeds United,54’,2:2,Raphinha,Daniel James,goal
ENG-Premier League,2122,2022-02-20 Leeds United-Manchester Utd,Manchester United,56’,2:2,Cristiano Ronaldo,,yellow_card
ENG-Premier League,2122,2022-02-20 Leeds United-Manchester Utd,Leeds United,61’,2:2,Pascal Struijk,,yellow_card
ENG-Premier League,2122,2022-02-20 Leeds United-Manchester Utd,Manchester United,67’,2:2,Anthony Elanga,Jesse Lingard,substitute_in
ENG-Premier League,2122,2022-02-20 Leeds United-Manchester Utd,Manchester United,67’,2:2,Fred,Paul Pogba,substitute_in
ENG-Premier League,2122,2022-02-20 Leeds United-Manchester Utd,Leeds United,68’,2:2,Luke Ayling,,yellow_card
ENG-Premier League,2122,2022-02-20 Leeds United-Manchester Utd,Manchester United,70’,2:3,Fred,Jadon Sancho,goal
ENG-Premier League,2122,2022-02-20 Leeds United-Manchester Utd,Leeds United,76’,2:3,Adam Forshaw,,yellow_card
ENG-Premier League,2122,2022-02-20 Leeds United-Manchester Utd,Manchester United,77’,2:3,Scott McTominay,,yellow_card
ENG-Premier League,2122,2022-02-20 Leeds United-Manchester Utd,Leeds United,81’,2:3,Raphinha,,yellow_card
ENG-Premier League,2122,2022-02-20 Leeds United-Manchester Utd,Manchester United,85’,2:3,Raphaël Varane,Cristiano Ronaldo,substitute_in
ENG-Premier League,2122,2022-02-20 Leeds United-Manchester Utd,Manchester United,88’,2:4,Anthony Elanga,Bruno Fernandes,goal
ENG-Premier League,2122,2022-02-20 Leeds United-Manchester Utd,Manchester United,90+2’,2:4,Luke Shaw,,yellow_card
ENG-Premier League,2122,2022-02-20 Leeds United-Manchester Utd,Leeds United,90+2’,2:4,Junior Firpo,,yellow_card
ENG-Premier League,2122,2022-02-20 Leeds United-Manchester Utd,Leeds United,90+5’,2:4,Mateusz Klich,,yellow_card
ENG-Premier League,2122,2022-04-02 Manchester Utd-Leicester City,Leicester City,16’,0:0,Wesley Fofana,,yellow_card
ENG-Premier League,2122,2022-04-02 Manchester Utd-Leicester City,Leicester City,30’,0:0,Youri Tielemans,,yellow_card
ENG-Premier League,2122,2022-04-02 Manchester Utd-Leicester City,Manchester United,46’,0:0,Alex Telles,Luke Shaw,substitute_in
ENG-Premier League,2122,2022-04-02 Manchester Utd-Leicester City,Manchester United,49’,0:0,Scott McTominay,,yellow_card
ENG-Premier League,2122,2022-04-02 Manchester Utd-Leicester City,Manchester United,55’,0:0,Marcus Rashford,Scott McTominay,substitute_in
ENG-Premier League,2122,2022-04-02 Manchester Utd-Leicester City,Manchester United,5’,0:0,Luke Shaw,,yellow_card
ENG-Premier League,2122,2022-04-02 Manchester Utd-Leicester City,Leicester City,63’,0:1,Kelechi Iheanacho,James Maddison,goal
ENG-Premier League,2122,2022-04-02 Manchester Utd-Leicester City,Leicester City,64’,0:1,Daniel Amartey,Jonny Evans,substitute_in
ENG-Premier League,2122,2022-04-02 Manchester Utd-Leicester City,Manchester United,66’,1:1,Fred,,goal
ENG-Premier League,2122,2022-04-02 Manchester Utd-Leicester City,Manchester United,75’,1:1,Nemanja Matić,Paul Pogba,substitute_in
ENG-Premier League,2122,2022-04-02 Manchester Utd-Leicester City,Leicester City,90+1’,1:1,Hamza Choudhury,Nampalys Mendy,substitute_in
ENG-Premier League,2122,2022-04-02 Manchester Utd-Leicester City,Leicester City,90+2’,1:1,Patson Daka,Kelechi Iheanacho,substitute_in
ENG-Premier League,2122,2021-10-02 Wolves-Newcastle United,Wolverhampton Wanderers,20’,1:0,Hwang Hee-chan,Raúl Jiménez,goal
ENG-Premier League,2122,2021-10-02 Wolves-Newcastle United,Newcastle United,36’,1:0,Jeff Hendrick,Joe Willock,substitute_in
ENG-Premier League,2122,2021-10-02 Wolves-Newcastle United,Newcastle United,41’,1:1,Jeff Hendrick,Javier Manquillo,goal
ENG-Premier League,2122,2021-10-02 Wolves-Newcastle United,Newcastle United,56’,1:1,Ciaran Clark,,yellow_card
ENG-Premier League,2122,2021-10-02 Wolves-Newcastle United,Wolverhampton Wanderers,58’,2:1,Hwang Hee-chan,Raúl Jiménez,goal
ENG-Premier League,2122,2021-10-02 Wolves-Newcastle United,Newcastle United,60’,2:1,Javier Manquillo,,yellow_card
ENG-Premier League,2122,2021-10-02 Wolves-Newcastle United,Newcastle United,70’,2:1,Jacob Murphy,Javier Manquillo,substitute_in
ENG-Premier League,2122,2021-10-02 Wolves-Newcastle United,Newcastle United,77’,2:1,Dwight Gayle,Miguel Almirón,substitute_in
ENG-Premier League,2122,2021-10-02 Wolves-Newcastle United,Wolverhampton Wanderers,86’,2:1,Leander Dendoncker,Francisco Trincão,substitute_in
