league,season,game,team,player,nation,age,min,Shot Stopping_SoTA,Shot Stopping_GA,Shot Stopping_Saves,Shot Stopping_Save%,game_id
ENG-Premier League,1718,2017-08-27 Tottenham Hotspur-Burnley,Burnley,Tom Heaton,ENG,31-134,90,5,1,4,80.0,9402c6ee
ENG-Premier League,1718,2017-08-27 Tottenham Hotspur-Burnley,Tottenham Hotspur,Hugo Lloris,FRA,30-244,90,3,1,2,66.7,9402c6ee
ENG-Premier League,1718,2017-08-27 West Brom-Stoke City,Stoke City,Jack Butland,ENG,24-170,90,2,1,1,50.0,abccb71c
ENG-Premier League,1718,2017-08-27 West Brom-Stoke City,West Bromwich Albion,Ben Foster,ENG,34-146,90,2,1,1,50.0,abccb71c
ENG-Premier League,1718,2017-09-09 Arsenal-Bournemouth,Arsenal,Petr Čech,CZE,35-112,90,2,0,2,100.0,2fab7d59
ENG-Premier League,1718,2017-09-09 Arsenal-Bournemouth,Bournemouth,Asmir Begović,BIH,30-081,90,9,3,6,66.7,2fab7d59
ENG-Premier League,1718,2017-09-09 Brighton-West Brom,Brighton & Hove Albion,Mathew Ryan,AUS,25-154,90,3,1,2,66.7,b81fcf8d
ENG-Premier League,1718,2017-09-09 Brighton-West Brom,West Bromwich Albion,Ben Foster,ENG,34-159,90,6,3,3,50.0,b81fcf8d
ENG-Premier League,1718,2017-09-09 Everton-Tottenham Hotspur,Everton,Jordan Pickford,ENG,23-186,90,6,3,3,50.0,2a7d4892
ENG-Premier League,1718,2017-09-09 Everton-Tottenham Hotspur,Tottenham Hotspur,Hugo Lloris,FRA,30-257,90,1,0,1,100.0,2a7d4892
ENG-Premier League,1718,2017-09-09 Leicester City-Chelsea,Chelsea,Thibaut Courtois,BEL,25-121,90,1,1,1,100.0,733dcf07
ENG-Premier League,1718,2017-09-09 Leicester City-Chelsea,Leicester City,Kasper Schmeichel,DEN,30-308,90,6,2,4,66.7,733dcf07
ENG-Premier League,1718,2017-09-09 Manchester City-Liverpool,Liverpool,Simon Mignolet,BEL,29-187,90,11,5,6,54.5,39dcce19
ENG-Premier League,1718,2017-09-09 Manchester City-Liverpool,Manchester City,Claudio Bravo,CHI,34-149,45,0,0,0,,39dcce19
ENG-Premier League,1718,2017-09-09 Manchester City-Liverpool,Manchester City,Ederson,BRA,24-023,44,3,0,3,100.0,39dcce19
ENG-Premier League,1718,2017-09-09 Southampton-Watford,Southampton,Fraser Forster,ENG,29-176,90,3,2,1,33.3,bb0151f4
ENG-Premier League,1718,2017-09-09 Southampton-Watford,Watford,Heurelho Gomes,BRA,36-206,90,1,0,1,100.0,bb0151f4
ENG-Premier League,1718,2017-09-09 Stoke City-Manchester Utd,Manchester United,David de Gea,ESP,26-306,90,5,2,3,60.0,06ec2f77
ENG-Premier League,1718,2017-09-09 Stoke City-Manchester Utd,Stoke City,Jack Butland,ENG,24-183,90,9,2,7,77.8,06ec2f77
ENG-Premier League,1718,2017-09-10 Burnley-Crystal Palace,Burnley,Nick Pope,ENG,25-144,54,3,0,3,100.0,96db0268
ENG-Premier League,1718,2017-09-10 Burnley-Crystal Palace,Burnley,Tom Heaton,ENG,31-148,36,0,0,0,,96db0268
ENG-Premier League,1718,2017-09-10 Burnley-Crystal Palace,Crystal Palace,Wayne Hennessey,WAL,30-229,90,2,1,1,50.0,96db0268
ENG-Premier League,1718,2017-09-10 Swansea City-Newcastle United,Newcastle United,Rob Elliot,IRL,31-133,90,3,0,3,100.0,d9c661eb
ENG-Premier League,1718,2017-09-10 Swansea City-Newcastle United,Swansea City,Łukasz Fabiański,POL,32-145,90,8,1,7,87.5,d9c661eb
ENG-Premier League,1718,2017-09-11 West Ham United-Huddersfield Town,Huddersfield Town,Jonas Lössl,DEN,28-222,90,4,2,2,50.0,74758ffd
ENG-Premier League,1718,2017-09-11 West Ham United-Huddersfield Town,West Ham United,Joe Hart,ENG,30-145,90,2,0,2,100.0,74758ffd
ENG-Premier League,1718,2017-09-15 Bournemouth-Brighton,Bournemouth,Asmir Begović,BIH,30-087,90,2,1,1,50.0,00836893
ENG-Premier League,1718,2017-09-15 Bournemouth-Brighton,Brighton & Hove Albion,Mathew Ryan,AUS,25-160,90,3,2,1,33.3,00836893
ENG-Premier League,1718,2017-09-16 Crystal Palace-Southampton,Crystal Palace,Wayne Hennessey,WAL,30-235,90,4,1,3,75.0,720202a0
ENG-Premier League,1718,2017-09-16 Crystal Palace-Southampton,Southampton,Fraser Forster,ENG,29-183,90,3,0,3,100.0,720202a0
ENG-Premier League,1718,2017-09-16 Huddersfield Town-Leicester City,Huddersfield Town,Jonas Lössl,DEN,28-227,90,1,1,1,100.0,8b0b0397
ENG-Premier League,1718,2017-09-16 Huddersfield Town-Leicester City,Leicester City,Kasper Schmeichel,DEN,30-315,90,3,1,2,66.7,8b0b0397
ENG-Premier League,1718,2017-09-16 Liverpool-Burnley,Burnley,Nick Pope,ENG,25-150,90,9,1,8,88.9,ab422c29
ENG-Premier League,1718,2017-09-16 Liverpool-Burnley,Liverpool,Simon Mignolet,BEL,29-194,90,3,1,2,66.7,ab422c29
ENG-Premier League,1718,2017-09-16 Newcastle United-Stoke City,Newcastle United,Rob Elliot,IRL,31-139,90,4,1,3,75.0,349276f6
ENG-Premier League,1718,2017-09-16 Newcastle United-Stoke City,Stoke City,Jack Butland,ENG,24-190,90,3,2,1,33.3,349276f6
ENG-Premier League,1718,2017-09-16 Tottenham Hotspur-Swansea City,Swansea City,Łukasz Fabiański,POL,32-151,90,8,0,8,100.0,bca1fa26
ENG-Premier League,1718,2017-09-16 Tottenham Hotspur-Swansea City,Tottenham Hotspur,Hugo Lloris,FRA,30-264,90,0,0,0,,bca1fa26
ENG-Premier League,1718,2017-09-16 Watford-Manchester City,Manchester City,Ederson,BRA,24-030,90,1,0,1,100.0,f9dc0d8f
ENG-Premier League,1718,2017-09-16 Watford-Manchester City,Watford,Heurelho Gomes,BRA,36-213,90,9,6,4,44.4,f9dc0d8f
ENG-Premier League,1718,2017-09-16 West Brom-West Ham United,West Bromwich Albion,Ben Foster,ENG,34-166,90,1,0,1,100.0,e0e9e784
ENG-Premier League,1718,2017-09-16 West Brom-West Ham United,West Ham United,Joe Hart,ENG,30-150,90,1,0,1,100.0,e0e9e784
ENG-Premier League,1718,2017-09-17 Chelsea-Arsenal,Arsenal,Petr Čech,CZE,35-120,90,4,0,4,100.0,b015cd93
ENG-Premier League,1718,2017-09-17 Chelsea-Arsenal,Chelsea,Thibaut Courtois,BEL,25-129,90,2,0,2,100.0,b015cd93
ENG-Premier League,1718,2017-09-17 Manchester Utd-Everton,Everton,Jordan Pickford,ENG,23-194,90,6,4,3,50.0,94bab527
ENG-Premier League,1718,2017-09-17 Manchester Utd-Everton,Manchester United,David de Gea,ESP,26-314,90,3,0,3,100.0,94bab527
ENG-Premier League,1718,2017-09-23 Burnley-Huddersfield Town,Burnley,Nick Pope,ENG,25-157,90,2,0,2,100.0,6481f3d3
ENG-Premier League,1718,2017-09-23 Burnley-Huddersfield Town,Huddersfield Town,Jonas Lössl,DEN,28-234,90,2,0,2,100.0,6481f3d3
ENG-Premier League,1718,2017-09-23 Everton-Bournemouth,Bournemouth,Asmir Begović,BIH,30-095,90,3,2,1,33.3,d255555f
ENG-Premier League,1718,2017-09-23 Everton-Bournemouth,Everton,Jordan Pickford,ENG,23-200,90,4,1,3,75.0,d255555f
ENG-Premier League,1718,2017-09-23 Leicester City-Liverpool,Leicester City,Kasper Schmeichel,DEN,30-322,90,6,3,3,50.0,4bdab275
ENG-Premier League,1718,2017-09-23 Leicester City-Liverpool,Liverpool,Simon Mignolet,BEL,29-201,90,5,2,4,60.0,4bdab275
ENG-Premier League,1718,2017-09-23 Manchester City-Crystal Palace,Crystal Palace,Wayne Hennessey,WAL,30-242,90,9,5,4,44.4,63496f6c
ENG-Premier League,1718,2017-09-23 Manchester City-Crystal Palace,Manchester City,Ederson,BRA,24-037,90,0,0,0,,63496f6c
ENG-Premier League,1718,2017-09-23 Southampton-Manchester Utd,Manchester United,David de Gea,ESP,26-320,90,3,0,3,100.0,3af86414
ENG-Premier League,1718,2017-09-23 Southampton-Manchester Utd,Southampton,Fraser Forster,ENG,29-190,90,4,1,3,75.0,3af86414
ENG-Premier League,1718,2017-09-23 Stoke City-Chelsea,Chelsea,Thibaut Courtois,BEL,25-135,90,2,0,2,100.0,3d438a3e
ENG-Premier League,1718,2017-09-23 Stoke City-Chelsea,Stoke City,Jack Butland,ENG,24-197,90,4,4,0,0.0,3d438a3e
ENG-Premier League,1718,2017-09-23 Swansea City-Watford,Swansea City,Łukasz Fabiański,POL,32-158,90,4,2,2,50.0,bb4b59af
ENG-Premier League,1718,2017-09-23 Swansea City-Watford,Watford,Heurelho Gomes,BRA,36-220,90,3,1,2,66.7,bb4b59af
ENG-Premier League,1718,2017-09-23 West Ham United-Tottenham Hotspur,Tottenham Hotspur,Hugo Lloris,FRA,30-271,90,4,2,2,50.0,8c97796b
ENG-Premier League,1718,2017-09-23 West Ham United-Tottenham Hotspur,West Ham United,Joe Hart,ENG,30-157,90,5,3,2,40.0,8c97796b
ENG-Premier League,1718,2017-09-24 Brighton-Newcastle United,Brighton & Hove Albion,Mathew Ryan,AUS,25-169,90,5,0,5,100.0,a7efd775
ENG-Premier League,1718,2017-09-24 Brighton-Newcastle United,Newcastle United,Rob Elliot,IRL,31-147,90,3,1,2,66.7,a7efd775
ENG-Premier League,1718,2017-09-25 Arsenal-West Brom,Arsenal,Petr Čech,CZE,35-128,90,2,0,2,100.0,b46b6153
ENG-Premier League,1718,2017-09-25 Arsenal-West Brom,West Bromwich Albion,Ben Foster,ENG,34-175,90,5,2,4,80.0,b46b6153
ENG-Premier League,1718,2017-09-30 Bournemouth-Leicester City,Bournemouth,Asmir Begović,BIH,30-102,90,1,0,1,100.0,c4ef65e4
ENG-Premier League,1718,2017-09-30 Bournemouth-Leicester City,Leicester City,Kasper Schmeichel,DEN,30-329,90,4,0,4,100.0,c4ef65e4
ENG-Premier League,1718,2017-09-30 Chelsea-Manchester City,Chelsea,Thibaut Courtois,BEL,25-142,90,5,1,4,80.0,9ebfd27b
ENG-Premier League,1718,2017-09-30 Chelsea-Manchester City,Manchester City,Ederson,BRA,24-044,90,2,0,2,100.0,9ebfd27b
ENG-Premier League,1718,2017-09-30 Huddersfield Town-Tottenham Hotspur,Huddersfield Town,Jonas Lössl,DEN,28-241,90,7,4,3,42.9,f25c2561
ENG-Premier League,1718,2017-09-30 Huddersfield Town-Tottenham Hotspur,Tottenham Hotspur,Hugo Lloris,FRA,30-278,90,1,0,1,100.0,f25c2561
ENG-Premier League,1718,2017-09-30 Manchester Utd-Crystal Palace,Crystal Palace,Wayne Hennessey,WAL,30-249,90,7,4,3,42.9,a720cc9e
ENG-Premier League,1718,2017-09-30 Manchester Utd-Crystal Palace,Manchester United,David de Gea,ESP,26-327,90,1,0,1,100.0,a720cc9e
ENG-Premier League,1718,2017-09-30 Stoke City-Southampton,Southampton,Fraser Forster,ENG,29-197,90,5,2,4,60.0,44cd18c0
ENG-Premier League,1718,2017-09-30 Stoke City-Southampton,Stoke City,Jack Butland,ENG,24-204,90,3,1,2,66.7,44cd18c0
ENG-Premier League,1718,2017-09-30 West Brom-Watford,Watford,Heurelho Gomes,BRA,36-227,90,4,2,2,50.0,d96be99d
ENG-Premier League,1718,2017-09-30 West Brom-Watford,West Bromwich Albion,Ben Foster,ENG,34-180,90,3,2,1,33.3,d96be99d
ENG-Premier League,1718,2017-09-30 West Ham United-Swansea City,Swansea City,Łukasz Fabiański,POL,32-165,90,4,1,3,75.0,6d059e4e
ENG-Premier League,1718,2017-09-30 West Ham United-Swansea City,West Ham United,Joe Hart,ENG,30-164,90,1,0,1,100.0,6d059e4e
ENG-Premier League,1718,2017-10-01 Arsenal-Brighton,Arsenal,Petr Čech,CZE,35-134,90,1,0,1,100.0,304dc26b
ENG-Premier League,1718,2017-10-01 Arsenal-Brighton,Brighton & Hove Albion,Mathew Ryan,AUS,25-176,90,8,2,6,75.0,304dc26b
ENG-Premier League,1718,2017-10-01 Everton-Burnley,Burnley,Nick Pope,ENG,25-165,90,4,0,4,100.0,275000a3
ENG-Premier League,1718,2017-10-01 Everton-Burnley,Everton,Jordan Pickford,ENG,23-208,90,2,1,1,50.0,275000a3
ENG-Premier League,1718,2017-10-01 Newcastle United-Liverpool,Liverpool,Simon Mignolet,BEL,29-209,90,5,1,4,80.0,b1b3ecb9
ENG-Premier League,1718,2017-10-01 Newcastle United-Liverpool,Newcastle United,Rob Elliot,IRL,31-154,90,2,1,1,50.0,b1b3ecb9
ENG-Premier League,1718,2017-10-14 Burnley-West Ham United,Burnley,Nick Pope,ENG,25-178,90,6,1,5,83.3,1cf63700
ENG-Premier League,1718,2017-10-14 Burnley-West Ham United,West Ham United,Joe Hart,ENG,30-178,90,5,1,4,80.0,1cf63700
ENG-Premier League,1718,2017-10-14 Crystal Palace-Chelsea,Chelsea,Thibaut Courtois,BEL,25-156,90,6,2,4,66.7,70d64db2
ENG-Premier League,1718,2017-10-14 Crystal Palace-Chelsea,Crystal Palace,Julián Speroni,ARG,38-149,90,5,1,4,80.0,70d64db2
ENG-Premier League,1718,2017-10-14 Liverpool-Manchester Utd,Liverpool,Simon Mignolet,BEL,29-222,90,1,0,1,100.0,d7dce737
ENG-Premier League,1718,2017-10-14 Liverpool-Manchester Utd,Manchester United,David de Gea,ESP,26-341,90,5,0,5,100.0,d7dce737
ENG-Premier League,1718,2017-10-14 Manchester City-Stoke City,Manchester City,Ederson,BRA,24-058,90,2,2,0,0.0,f81f42ed
ENG-Premier League,1718,2017-10-14 Manchester City-Stoke City,Stoke City,Jack Butland,ENG,24-218,90,11,7,4,36.4,f81f42ed
ENG-Premier League,1718,2017-10-14 Swansea City-Huddersfield Town,Huddersfield Town,Jonas Lössl,DEN,28-255,90,3,2,1,33.3,dfe3c484
ENG-Premier League,1718,2017-10-14 Swansea City-Huddersfield Town,Swansea City,Łukasz Fabiański,POL,32-179,90,2,0,2,100.0,dfe3c484
ENG-Premier League,1718,2017-10-14 Tottenham Hotspur-Bournemouth,Bournemouth,Asmir Begović,BIH,30-116,90,6,1,5,83.3,0e98ac46
ENG-Premier League,1718,2017-10-14 Tottenham Hotspur-Bournemouth,Tottenham Hotspur,Hugo Lloris,FRA,30-292,90,2,0,1,100.0,0e98ac46
ENG-Premier League,1718,2017-10-14 Watford-Arsenal,Arsenal,Petr Čech,CZE,35-147,90,2,2,1,50.0,f18931d9
ENG-Premier League,1718,2017-10-14 Watford-Arsenal,Watford,Heurelho Gomes,BRA,36-241,90,6,1,5,83.3,f18931d9
ENG-Premier League,1718,2017-10-15 Brighton-Everton,Brighton & Hove Albion,Mathew Ryan,AUS,25-190,90,5,1,5,100.0,1585521f
ENG-Premier League,1718,2017-10-15 Brighton-Everton,Everton,Jordan Pickford,ENG,23-222,90,3,1,2,66.7,1585521f
ENG-Premier League,1718,2017-10-15 Southampton-Newcastle United,Newcastle United,Rob Elliot,IRL,31-168,90,1,2,0,0.0,a479dc92
ENG-Premier League,1718,2017-10-15 Southampton-Newcastle United,Southampton,Fraser Forster,ENG,29-212,90,4,2,2,50.0,a479dc92
ENG-Premier League,1718,2017-10-16 Leicester City-West Brom,Leicester City,Kasper Schmeichel,DEN,30-345,90,1,1,0,0.0,199aafa3
ENG-Premier League,1718,2017-10-16 Leicester City-West Brom,West Bromwich Albion,Boaz Myhill,WAL,34-341,90,3,1,2,66.7,199aafa3
ENG-Premier League,1718,2017-10-20 West Ham United-Brighton,Brighton & Hove Albion,Mathew Ryan,AUS,25-195,90,2,0,2,100.0,2f83e2ec
ENG-Premier League,1718,2017-10-20 West Ham United-Brighton,West Ham United,Joe Hart,ENG,30-184,90,4,3,2,50.0,2f83e2ec
ENG-Premier League,1718,2017-10-21 Chelsea-Watford,Chelsea,Thibaut Courtois,BEL,25-163,90,5,2,3,60.0,048d192d
ENG-Premier League,1718,2017-10-21 Chelsea-Watford,Watford,Heurelho Gomes,BRA,36-248,90,8,4,4,50.0,048d192d
ENG-Premier League,1718,2017-10-21 Huddersfield Town-Manchester Utd,Huddersfield Town,Jonas Lössl,DEN,28-262,90,3,1,2,66.7,155ed776
ENG-Premier League,1718,2017-10-21 Huddersfield Town-Manchester Utd,Manchester United,David de Gea,ESP,26-348,90,3,2,1,33.3,155ed776
ENG-Premier League,1718,2017-10-21 Manchester City-Burnley,Burnley,Nick Pope,ENG,25-185,90,9,3,7,77.8,11c702a4
ENG-Premier League,1718,2017-10-21 Manchester City-Burnley,Manchester City,Ederson,BRA,24-065,90,0,0,0,,11c702a4
ENG-Premier League,1718,2017-10-21 Newcastle United-Crystal Palace,Crystal Palace,Julián Speroni,ARG,38-156,90,3,1,2,66.7,ab9171ec
ENG-Premier League,1718,2017-10-21 Newcastle United-Crystal Palace,Newcastle United,Rob Elliot,IRL,31-174,90,0,0,0,,ab9171ec
ENG-Premier League,1718,2017-10-21 Southampton-West Brom,Southampton,Fraser Forster,ENG,29-218,90,2,0,2,100.0,424a0e74
ENG-Premier League,1718,2017-10-21 Southampton-West Brom,West Bromwich Albion,Ben Foster,ENG,34-201,90,6,1,5,83.3,424a0e74
ENG-Premier League,1718,2017-10-21 Stoke City-Bournemouth,Bournemouth,Asmir Begović,BIH,30-123,90,3,1,2,66.7,7da1fc42
ENG-Premier League,1718,2017-10-21 Stoke City-Bournemouth,Stoke City,Jack Butland,ENG,24-225,90,2,2,1,50.0,7da1fc42
ENG-Premier League,1718,2017-10-21 Swansea City-Leicester City,Leicester City,Kasper Schmeichel,DEN,30-350,90,4,1,3,75.0,78a41b8a
ENG-Premier League,1718,2017-10-21 Swansea City-Leicester City,Swansea City,Łukasz Fabiański,POL,32-186,90,7,2,5,71.4,78a41b8a
ENG-Premier League,1718,2017-10-22 Everton-Arsenal,Arsenal,Petr Čech,CZE,35-155,90,3,2,1,33.3,73da64ff
ENG-Premier League,1718,2017-10-22 Everton-Arsenal,Everton,Jordan Pickford,ENG,23-229,90,14,5,9,64.3,73da64ff
ENG-Premier League,1718,2017-10-22 Tottenham Hotspur-Liverpool,Liverpool,Simon Mignolet,BEL,29-230,90,5,4,1,20.0,b43525f5
ENG-Premier League,1718,2017-10-22 Tottenham Hotspur-Liverpool,Tottenham Hotspur,Hugo Lloris,FRA,30-300,90,7,1,6,85.7,b43525f5
ENG-Premier League,1718,2017-10-28 Arsenal-Swansea City,Arsenal,Petr Čech,CZE,35-161,90,2,1,1,50.0,3424d0e6
ENG-Premier League,1718,2017-10-28 Arsenal-Swansea City,Swansea City,Łukasz Fabiański,POL,32-193,90,5,2,3,60.0,3424d0e6
ENG-Premier League,1718,2017-10-28 Bournemouth-Chelsea,Bournemouth,Asmir Begović,BIH,30-130,90,5,1,4,80.0,6eb8787a
ENG-Premier League,1718,2017-10-28 Bournemouth-Chelsea,Chelsea,Thibaut Courtois,BEL,25-170,90,1,0,1,100.0,6eb8787a
ENG-Premier League,1718,2017-10-28 Crystal Palace-West Ham United,Crystal Palace,Julián Speroni,ARG,38-163,90,2,2,0,0.0,4ee00470
ENG-Premier League,1718,2017-10-28 Crystal Palace-West Ham United,West Ham United,Joe Hart,ENG,30-192,90,8,2,7,87.5,4ee00470
ENG-Premier League,1718,2017-10-28 Liverpool-Huddersfield Town,Huddersfield Town,Jonas Lössl,DEN,28-269,90,6,3,4,50.0,9e2f900f
ENG-Premier League,1718,2017-10-28 Liverpool-Huddersfield Town,Liverpool,Simon Mignolet,BEL,29-236,90,0,0,0,,9e2f900f
