league,season,game,team,player,nation,age,min,Shot Stopping_SoTA,Shot Stopping_GA,Shot Stopping_Saves,Shot Stopping_Save%,game_id
ENG-Premier League,1718,2017-08-11 Arsenal-Leicester City,Arsenal,Petr Čech,CZE,35-083,90,4,3,1,25.0,e3c3ddf0
ENG-Premier League,1718,2017-08-11 Arsenal-Leicester City,Leicester City,Kasper Schmeichel,DEN,30-279,90,10,4,6,60.0,e3c3ddf0
ENG-Premier League,1718,2017-08-12 Brighton-Manchester City,Brighton & Hove Albion,Mathew Ryan,AUS,25-126,90,5,2,3,60.0,072bfc99
ENG-Premier League,1718,2017-08-12 Brighton-Manchester City,Manchester City,Ederson,BRA,23-360,90,2,0,2,100.0,072bfc99
ENG-Premier League,1718,2017-08-12 Chelsea-Burnley,Burnley,Tom Heaton,ENG,31-119,90,6,2,4,66.7,71b00bca
ENG-Premier League,1718,2017-08-12 Chelsea-Burnley,Chelsea,Thibaut Courtois,BEL,25-093,90,5,3,2,40.0,71b00bca
ENG-Premier League,1718,2017-08-12 Crystal Palace-Huddersfield Town,Crystal Palace,Wayne Hennessey,WAL,30-200,90,7,3,4,57.1,2d369d17
ENG-Premier League,1718,2017-08-12 Crystal Palace-Huddersfield Town,Huddersfield Town,Jonas Lössl,DEN,28-192,90,4,0,4,100.0,2d369d17
ENG-Premier League,1718,2017-08-12 Everton-Stoke City,Everton,Jordan Pickford,ENG,23-158,90,1,0,1,100.0,7c834541
ENG-Premier League,1718,2017-08-12 Everton-Stoke City,Stoke City,Jack Butland,ENG,24-155,90,4,1,3,75.0,7c834541
ENG-Premier League,1718,2017-08-12 Southampton-Swansea City,Southampton,Fraser Forster,ENG,29-148,90,0,0,0,,e782371e
ENG-Premier League,1718,2017-08-12 Southampton-Swansea City,Swansea City,Łukasz Fabiański,POL,32-116,90,2,0,2,100.0,e782371e
ENG-Premier League,1718,2017-08-12 Watford-Liverpool,Liverpool,Simon Mignolet,BEL,29-159,90,4,3,1,25.0,60f6cc1d
ENG-Premier League,1718,2017-08-12 Watford-Liverpool,Watford,Heurelho Gomes,BRA,36-178,90,4,3,2,50.0,60f6cc1d
ENG-Premier League,1718,2017-08-12 West Brom-Bournemouth,Bournemouth,Asmir Begović,BIH,30-053,90,6,1,5,83.3,684f704a
ENG-Premier League,1718,2017-08-12 West Brom-Bournemouth,West Bromwich Albion,Ben Foster,ENG,34-131,90,2,0,2,100.0,684f704a
ENG-Premier League,1718,2017-08-13 Manchester Utd-West Ham United,Manchester United,David de Gea,ESP,26-279,90,1,0,1,100.0,f5d1f6f4
ENG-Premier League,1718,2017-08-13 Manchester Utd-West Ham United,West Ham United,Joe Hart,ENG,30-116,90,5,4,1,20.0,f5d1f6f4
ENG-Premier League,1718,2017-08-13 Newcastle United-Tottenham Hotspur,Newcastle United,Rob Elliot,IRL,31-105,90,6,2,4,66.7,d8a995d7
ENG-Premier League,1718,2017-08-13 Newcastle United-Tottenham Hotspur,Tottenham Hotspur,Hugo Lloris,FRA,30-230,90,2,0,2,100.0,d8a995d7
ENG-Premier League,1718,2017-08-19 Bournemouth-Watford,Bournemouth,Asmir Begović,BIH,30-060,90,7,2,5,71.4,21fec287
ENG-Premier League,1718,2017-08-19 Bournemouth-Watford,Watford,Heurelho Gomes,BRA,36-185,90,2,0,2,100.0,21fec287
ENG-Premier League,1718,2017-08-19 Burnley-West Brom,Burnley,Tom Heaton,ENG,31-126,90,1,1,0,0.0,e868e7b5
ENG-Premier League,1718,2017-08-19 Burnley-West Brom,West Bromwich Albion,Ben Foster,ENG,34-138,90,0,0,0,,e868e7b5
ENG-Premier League,1718,2017-08-19 Leicester City-Brighton,Brighton & Hove Albion,Mathew Ryan,AUS,25-133,90,4,2,2,50.0,e487b860
ENG-Premier League,1718,2017-08-19 Leicester City-Brighton,Leicester City,Kasper Schmeichel,DEN,30-287,90,2,0,2,100.0,e487b860
ENG-Premier League,1718,2017-08-19 Liverpool-Crystal Palace,Crystal Palace,Wayne Hennessey,WAL,30-207,90,13,1,12,92.3,ea1213ed
ENG-Premier League,1718,2017-08-19 Liverpool-Crystal Palace,Liverpool,Simon Mignolet,BEL,29-166,90,1,0,1,100.0,ea1213ed
ENG-Premier League,1718,2017-08-19 Southampton-West Ham United,Southampton,Fraser Forster,ENG,29-155,90,8,2,6,75.0,4dc6e9ad
ENG-Premier League,1718,2017-08-19 Southampton-West Ham United,West Ham United,Joe Hart,ENG,30-122,90,3,3,2,66.7,4dc6e9ad
ENG-Premier League,1718,2017-08-19 Stoke City-Arsenal,Arsenal,Petr Čech,CZE,35-091,90,4,1,3,75.0,37f97732
ENG-Premier League,1718,2017-08-19 Stoke City-Arsenal,Stoke City,Jack Butland,ENG,24-162,90,6,0,6,100.0,37f97732
ENG-Premier League,1718,2017-08-19 Swansea City-Manchester Utd,Manchester United,David de Gea,ESP,26-285,90,1,0,1,100.0,9c09e079
ENG-Premier League,1718,2017-08-19 Swansea City-Manchester Utd,Swansea City,Łukasz Fabiański,POL,32-123,90,8,4,4,50.0,9c09e079
ENG-Premier League,1718,2017-08-20 Huddersfield Town-Newcastle United,Huddersfield Town,Jonas Lössl,DEN,28-200,90,5,0,5,100.0,3786388c
ENG-Premier League,1718,2017-08-20 Huddersfield Town-Newcastle United,Newcastle United,Rob Elliot,IRL,31-112,90,3,1,2,66.7,3786388c
ENG-Premier League,1718,2017-08-20 Tottenham Hotspur-Chelsea,Chelsea,Thibaut Courtois,BEL,25-101,90,7,1,6,85.7,1bf15b95
ENG-Premier League,1718,2017-08-20 Tottenham Hotspur-Chelsea,Tottenham Hotspur,Hugo Lloris,FRA,30-237,90,2,2,0,0.0,1bf15b95
ENG-Premier League,1718,2017-08-21 Manchester City-Everton,Everton,Jordan Pickford,ENG,23-167,90,6,1,5,83.3,424dc3f9
ENG-Premier League,1718,2017-08-21 Manchester City-Everton,Manchester City,Ederson,BRA,24-004,90,2,1,1,50.0,424dc3f9
ENG-Premier League,1718,2017-08-26 Bournemouth-Manchester City,Bournemouth,Asmir Begović,BIH,30-067,90,8,2,6,75.0,77beb1ff
ENG-Premier League,1718,2017-08-26 Bournemouth-Manchester City,Manchester City,Ederson,BRA,24-009,90,3,1,2,66.7,77beb1ff
ENG-Premier League,1718,2017-08-26 Crystal Palace-Swansea City,Crystal Palace,Wayne Hennessey,WAL,30-214,90,3,2,1,33.3,86d8c6b8
ENG-Premier League,1718,2017-08-26 Crystal Palace-Swansea City,Swansea City,Łukasz Fabiański,POL,32-130,90,3,0,3,100.0,86d8c6b8
ENG-Premier League,1718,2017-08-26 Huddersfield Town-Southampton,Huddersfield Town,Jonas Lössl,DEN,28-206,90,2,0,2,100.0,2b22bafa
ENG-Premier League,1718,2017-08-26 Huddersfield Town-Southampton,Southampton,Fraser Forster,ENG,29-162,90,6,0,6,100.0,2b22bafa
ENG-Premier League,1718,2017-08-26 Manchester Utd-Leicester City,Leicester City,Kasper Schmeichel,DEN,30-294,90,5,2,4,60.0,b841af28
ENG-Premier League,1718,2017-08-26 Manchester Utd-Leicester City,Manchester United,David de Gea,ESP,26-292,90,4,0,4,100.0,b841af28
ENG-Premier League,1718,2017-08-26 Newcastle United-West Ham United,Newcastle United,Rob Elliot,IRL,31-118,90,3,0,3,100.0,b7de45b7
ENG-Premier League,1718,2017-08-26 Newcastle United-West Ham United,West Ham United,Joe Hart,ENG,30-129,90,8,3,5,62.5,b7de45b7
ENG-Premier League,1718,2017-08-26 Watford-Brighton,Brighton & Hove Albion,Mathew Ryan,AUS,25-140,90,0,0,0,,7bd57325
ENG-Premier League,1718,2017-08-26 Watford-Brighton,Watford,Heurelho Gomes,BRA,36-192,90,2,0,2,100.0,7bd57325
ENG-Premier League,1718,2017-08-27 Chelsea-Everton,Chelsea,Thibaut Courtois,BEL,25-108,90,0,0,0,,5a276f0b
ENG-Premier League,1718,2017-08-27 Chelsea-Everton,Everton,Jordan Pickford,ENG,23-173,90,7,2,5,71.4,5a276f0b
ENG-Premier League,1718,2017-08-27 Liverpool-Arsenal,Arsenal,Petr Čech,CZE,35-099,90,11,4,7,63.6,e4374144
ENG-Premier League,1718,2017-08-27 Liverpool-Arsenal,Liverpool,Loris Karius,GER,24-066,90,0,0,0,,e4374144
